Group,APT
Group 1,01.572
Group 1,01.777
Group 1,01.507
Group 1,01.532
Group 1,01.574
Group 1,01.403
Group 1,01.830
Group 1,01.532
Group 1,01.486
Group 1,01.590
Group 1,01.373
Group 1,01.566
Group 1,01.512
Group 1,01.506
Group 1,01.537
Group 1,01.489
Group 1,01.536
Group 1,01.618
Group 1,01.506
Group 1,01.377
Group 1,01.477
Group 1,01.585
Group 1,01.560
Group 1,01.513
Group 1,01.623
Group 1,01.384
Group 1,01.546
Group 1,01.750
Group 1,01.586
Group 1,01.493
Group 2,21.151
Group 2,21.113
Group 2,21.187
Group 2,21.085
Group 2,21.104
Group 2,21.092
Group 2,21.325
Group 2,21.080
Group 2,21.125
Group 2,21.066
Group 2,21.111
Group 2,21.099
Group 2,21.367
Group 2,21.116
Group 2,21.152
Group 2,21.104
Group 2,21.084
Group 2,21.165
Group 2,21.129
Group 2,21.096
Group 2,21.136
Group 2,21.112
Group 2,21.120
Group 2,21.163
Group 2,21.067
Group 2,21.308
Group 2,21.141
Group 2,21.125
Group 2,21.112
Group 2,21.134
