Group,APT
Group 1,01.590
Group 1,01.493
Group 1,01.465
Group 1,01.559
Group 1,01.422
Group 1,01.467
Group 1,01.514
Group 1,01.478
Group 1,01.845
Group 1,01.580
Group 1,01.725
Group 1,01.483
Group 1,01.481
Group 1,01.681
Group 1,01.706
Group 1,01.640
Group 1,01.623
Group 1,01.434
Group 1,01.436
Group 1,01.493
Group 1,01.440
Group 1,01.449
Group 1,01.432
Group 1,01.459
Group 1,01.411
Group 1,01.694
Group 1,01.468
Group 1,01.439
Group 1,01.448
Group 1,01.543
Group 2,21.163
Group 2,21.113
Group 2,21.134
Group 2,21.114
Group 2,21.174
Group 2,21.328
Group 2,21.086
Group 2,21.077
Group 2,21.098
Group 2,21.115
Group 2,21.088
Group 2,21.123
Group 2,21.319
Group 2,21.108
Group 2,21.122
Group 2,21.114
Group 2,21.159
Group 2,21.082
Group 2,21.297
Group 2,21.124
Group 2,21.087
Group 2,21.099
Group 2,21.143
Group 2,21.114
Group 2,21.050
Group 2,21.113
Group 2,21.122
Group 2,21.099
Group 2,21.184
Group 2,21.124
