Group,APT
Group 1,0.76
Group 1,0.36
Group 1,0.36
Group 1,0.37
Group 1,0.38
Group 1,0.35
Group 1,0.37
Group 1,0.36
Group 1,0.34
Group 1,0.35
Group 1,0.35
Group 1,0.35
Group 1,0.35
Group 1,0.35
Group 1,1.14
Group 1,0.40
Group 1,0.38
Group 1,0.36
Group 1,0.35
Group 1,0.38
Group 1,0.39
Group 1,0.35
Group 1,0.36
Group 1,0.39
Group 1,0.34
Group 1,0.54
Group 1,0.73
Group 1,0.36
Group 1,0.36
Group 1,0.37
Group 2,10.18
Group 2,10.19
Group 2,10.21
Group 2,10.44
Group 2,10.20
Group 2,10.17
Group 2,10.19
Group 2,10.19
Group 2,10.18
Group 2,10.21
Group 2,10.19
Group 2,10.18
Group 2,10.18
Group 2,10.19
Group 2,10.19
Group 2,10.19
Group 2,10.20
Group 2,10.19
Group 2,10.19
Group 2,10.18
Group 2,10.36
Group 2,10.18
Group 2,10.20
Group 2,10.18
Group 2,10.18
Group 2,10.20
Group 2,10.18
Group 2,10.17
Group 2,10.17
Group 2,10.19
