Group,CURL
Group 1,00.334
Group 1,00.286
Group 1,00.273
Group 1,00.278
Group 1,00.308
Group 1,00.316
Group 1,00.300
Group 1,00.290
Group 1,00.298
Group 1,00.271
Group 1,00.338
Group 1,00.299
Group 1,00.301
Group 1,00.317
Group 1,00.297
Group 1,00.320
Group 1,00.296
Group 1,00.304
Group 1,00.313
Group 1,00.286
Group 1,00.281
Group 1,00.309
Group 1,00.300
Group 1,00.291
Group 1,00.314
Group 1,00.293
Group 1,00.292
Group 1,00.315
Group 1,00.306
Group 1,00.282
Group 2,020.644
Group 2,020.589
Group 2,020.606
Group 2,020.574
Group 2,020.594
Group 2,020.617
Group 2,020.615
Group 2,020.601
Group 2,020.606
Group 2,020.584
Group 2,020.598
Group 2,020.627
Group 2,020.689
Group 2,020.608
Group 2,020.621
Group 2,020.594
Group 2,020.608
Group 2,020.607
Group 2,020.656
Group 2,020.622
Group 2,020.626
Group 2,020.639
Group 2,020.617
Group 2,020.586
Group 2,020.659
Group 2,020.622
Group 2,020.597
Group 2,020.612
Group 2,020.581
Group 2,020.636
