Group,WGET
Group 1,00.297
Group 1,00.283
Group 1,00.289
Group 1,00.289
Group 1,00.272
Group 1,00.290
Group 1,00.277
Group 1,00.287
Group 1,00.282
Group 1,00.271
Group 1,00.273
Group 1,00.279
Group 1,00.278
Group 1,00.287
Group 1,00.271
Group 1,00.282
Group 1,00.296
Group 1,00.297
Group 1,00.284
Group 1,00.288
Group 1,00.295
Group 1,00.286
Group 1,00.272
Group 1,00.279
Group 1,00.302
Group 1,00.261
Group 1,00.287
Group 1,00.293
Group 1,00.265
Group 1,00.334
Group 2,020.037
Group 2,020.034
Group 2,020.033
Group 2,020.035
Group 2,020.039
Group 2,020.036
Group 2,020.036
Group 2,020.034
Group 2,020.031
Group 2,020.034
Group 2,020.040
Group 2,020.031
Group 2,020.029
Group 2,020.033
Group 2,020.039
Group 2,020.029
Group 2,020.036
Group 2,020.032
Group 2,020.035
Group 2,020.038
Group 2,020.029
Group 2,020.029
Group 2,020.034
Group 2,020.034
Group 2,020.036
Group 2,020.032
Group 2,020.044
Group 2,020.034
Group 2,020.038
Group 2,020.029
