Group,CURL
Group 1,00.330
Group 1,00.313
Group 1,00.329
Group 1,00.304
Group 1,00.312
Group 1,00.304
Group 1,00.345
Group 1,00.295
Group 1,00.332
Group 1,00.278
Group 1,00.276
Group 1,00.298
Group 1,00.324
Group 1,00.307
Group 1,00.325
Group 1,00.323
Group 1,00.312
Group 1,00.300
Group 1,00.296
Group 1,00.300
Group 1,00.325
Group 1,00.319
Group 1,00.314
Group 1,00.326
Group 1,00.321
Group 1,00.315
Group 1,00.326
Group 1,00.327
Group 1,00.316
Group 1,00.341
Group 2,00.339
Group 2,00.346
Group 2,00.315
Group 2,00.295
Group 2,00.310
Group 2,00.302
Group 2,00.275
Group 2,00.304
Group 2,00.305
Group 2,00.282
Group 2,00.299
Group 2,00.315
Group 2,00.303
Group 2,00.292
Group 2,00.336
Group 2,00.294
Group 2,00.303
Group 2,00.313
Group 2,00.297
Group 2,00.282
Group 2,00.306
Group 2,00.323
Group 2,00.341
Group 2,00.302
Group 2,00.302
Group 2,00.317
Group 2,00.302
Group 2,00.314
Group 2,00.331
Group 2,00.337
