Group,CURL
Group 1,00.30
Group 1,00.36
Group 1,00.32
Group 1,00.33
Group 1,00.31
Group 1,00.33
Group 1,00.68
Group 1,00.32
Group 1,00.67
Group 1,00.66
Group 1,00.35
Group 1,00.65
Group 1,00.34
Group 1,00.32
Group 1,00.33
Group 1,00.32
Group 1,00.34
Group 1,00.33
Group 1,00.34
Group 1,00.34
Group 1,00.34
Group 1,00.69
Group 1,00.30
Group 1,00.32
Group 1,00.33
Group 1,00.65
Group 1,00.34
Group 1,00.31
Group 1,00.32
Group 1,00.29
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.02
Group 2,05.01
Group 2,05.02
Group 2,05.01
Group 2,05.01
Group 2,05.00
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.02
Group 2,05.02
Group 2,05.01
Group 2,05.01
Group 2,05.02
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.01
Group 2,05.02
