Group,WGET
Group 1,00.291
Group 1,00.309
Group 1,00.283
Group 1,00.289
Group 1,00.284
Group 1,00.279
Group 1,00.284
Group 1,00.281
Group 1,00.305
Group 1,00.299
Group 1,00.313
Group 1,00.288
Group 1,00.519
Group 1,00.275
Group 1,00.277
Group 1,00.296
Group 1,00.306
Group 1,00.286
Group 1,00.463
Group 1,00.303
Group 1,00.540
Group 1,00.265
Group 1,00.314
Group 1,00.326
Group 1,00.315
Group 1,00.296
Group 1,00.286
Group 1,00.282
Group 1,00.303
Group 1,00.266
Group 2,020.032
Group 2,020.040
Group 2,020.030
Group 2,020.034
Group 2,020.033
Group 2,020.030
Group 2,020.045
Group 2,020.085
Group 2,020.032
Group 2,020.030
Group 2,020.049
Group 2,020.043
Group 2,020.034
Group 2,020.042
Group 2,020.029
Group 2,020.036
Group 2,020.032
Group 2,020.037
Group 2,020.035
Group 2,020.037
Group 2,020.032
Group 2,020.036
Group 2,020.045
Group 2,020.037
Group 2,020.034
Group 2,020.034
Group 2,020.035
Group 2,020.034
Group 2,020.034
Group 2,020.033
