Group,CURL
Group 1,00.327
Group 1,00.318
Group 1,00.296
Group 1,00.300
Group 1,00.275
Group 1,00.327
Group 1,00.287
Group 1,00.343
Group 1,00.318
Group 1,00.312
Group 1,00.386
Group 1,00.311
Group 1,00.300
Group 1,00.308
Group 1,00.321
Group 1,00.358
Group 1,00.274
Group 1,00.297
Group 1,00.284
Group 1,00.288
Group 1,00.325
Group 1,00.301
Group 1,00.335
Group 1,00.295
Group 1,00.311
Group 1,00.311
Group 1,00.320
Group 1,00.311
Group 1,00.308
Group 1,00.305
Group 2,020.613
Group 2,020.615
Group 2,020.635
Group 2,020.597
Group 2,020.609
Group 2,020.626
Group 2,020.614
Group 2,020.615
Group 2,020.630
Group 2,020.665
Group 2,020.642
Group 2,020.623
Group 2,020.630
Group 2,020.634
Group 2,020.614
Group 2,020.643
Group 2,020.626
Group 2,020.634
Group 2,020.643
Group 2,020.646
Group 2,020.584
Group 2,020.631
Group 2,020.614
Group 2,020.599
Group 2,020.612
Group 2,020.598
Group 2,020.624
Group 2,020.632
Group 2,020.580
Group 2,020.610
