Group,WGET
Group 1,00.300
Group 1,00.287
Group 1,00.276
Group 1,00.289
Group 1,00.294
Group 1,00.282
Group 1,00.292
Group 1,00.287
Group 1,00.290
Group 1,00.315
Group 1,00.302
Group 1,00.265
Group 1,00.272
Group 1,00.303
Group 1,00.278
Group 1,00.277
Group 1,00.288
Group 1,033.099
Group 1,00.282
Group 1,00.307
Group 1,00.260
Group 1,00.347
Group 1,00.296
Group 1,00.310
Group 1,00.311
Group 1,00.296
Group 1,00.291
Group 1,00.272
Group 1,00.289
Group 1,00.267
Group 2,00.336
Group 2,00.331
Group 2,00.303
Group 2,00.322
Group 2,00.290
Group 2,00.300
Group 2,00.289
Group 2,00.317
Group 2,00.282
Group 2,00.286
Group 2,00.310
Group 2,00.280
Group 2,00.314
Group 2,00.306
Group 2,00.270
Group 2,00.290
Group 2,00.277
Group 2,00.295
Group 2,00.305
Group 2,00.309
Group 2,00.301
Group 2,00.264
Group 2,00.293
Group 2,00.267
Group 2,00.307
Group 2,00.312
Group 2,00.290
Group 2,00.275
Group 2,00.294
Group 2,00.294
