Group,APT
Group 1,01.517
Group 1,01.495
Group 1,01.463
Group 1,01.497
Group 1,01.521
Group 1,01.482
Group 1,01.486
Group 1,01.583
Group 1,01.499
Group 1,01.432
Group 1,01.534
Group 1,01.514
Group 1,01.610
Group 1,01.460
Group 1,01.472
Group 1,01.479
Group 1,01.529
Group 1,01.685
Group 1,01.485
Group 1,01.512
Group 1,01.493
Group 1,01.425
Group 1,01.418
Group 1,01.546
Group 1,01.439
Group 1,01.446
Group 1,01.457
Group 1,01.467
Group 1,01.608
Group 1,01.435
Group 2,01.771
Group 2,01.541
Group 2,01.528
Group 2,01.512
Group 2,01.472
Group 2,01.633
Group 2,01.546
Group 2,01.500
Group 2,01.482
Group 2,01.524
Group 2,01.624
Group 2,01.484
Group 2,01.598
Group 2,01.480
Group 2,01.491
Group 2,01.493
Group 2,01.540
Group 2,01.512
Group 2,01.475
Group 2,01.548
Group 2,01.526
Group 2,01.579
Group 2,01.512
Group 2,01.580
Group 2,01.515
Group 2,01.484
Group 2,01.670
Group 2,01.533
Group 2,01.496
Group 2,01.458
