Group,WGET
Group 1,00.32
Group 1,00.55
Group 1,00.33
Group 1,00.35
Group 1,00.33
Group 1,00.32
Group 1,00.34
Group 1,00.35
Group 1,00.32
Group 1,00.33
Group 1,00.36
Group 1,00.35
Group 1,00.32
Group 1,00.35
Group 1,00.34
Group 1,00.63
Group 1,00.59
Group 1,00.33
Group 1,00.59
Group 1,00.60
Group 1,00.43
Group 1,00.37
Group 1,00.60
Group 1,00.34
Group 1,00.33
Group 1,00.36
Group 1,00.56
Group 1,00.37
Group 1,00.35
Group 1,00.30
Group 2,05.06
Group 2,05.09
Group 2,05.05
Group 2,05.07
Group 2,05.05
Group 2,05.05
Group 2,05.07
Group 2,05.12
Group 2,05.11
Group 2,05.06
Group 2,05.06
Group 2,05.08
Group 2,05.06
Group 2,05.06
Group 2,05.07
Group 2,05.06
Group 2,05.07
Group 2,05.07
Group 2,05.07
Group 2,05.06
Group 2,05.06
Group 2,05.06
Group 2,05.06
Group 2,05.06
Group 2,05.06
Group 2,05.06
Group 2,05.07
Group 2,05.06
Group 2,05.06
Group 2,05.13
