Group,APT
Group 1,2.01677955642
Group 1,1.01677955643
Group 1,2.01677955645
Group 1,1.01677955646
Group 1,1.01677955647
Group 1,2.01677955649
Group 1,1.01677955650
Group 1,2.01677955652
Group 1,1.01677955653
Group 1,2.01677955655
Group 1,1.01677955656
Group 1,2.01677955658
Group 1,1.01677955659
Group 1,2.01677955661
Group 1,1.01677955662
Group 1,2.01677955664
Group 1,1.01677955665
Group 1,1.01677955666
Group 1,2.01677955668
Group 1,1.01677955669
Group 1,2.01677955671
Group 1,1.01677955672
Group 1,2.01677955674
Group 1,1.01677955675
Group 1,2.01677955677
Group 1,1.01677955678
Group 1,42.01677955680
Group 1,1.01677955681
Group 1,2.01677955683
Group 1,1.01677955684
Group 2,201.01677960372
Group 2,202.01677960494
Group 2,201.01677960615
Group 2,202.01677960737
Group 2,202.01677960859
Group 2,201.01677960980
Group 2,202.01677961102
Group 2,201.01677961223
Group 2,202.01677961345
Group 2,201.01677961466
Group 2,202.01677961588
Group 2,201.01677961709
Group 2,202.01677961831
Group 2,202.01677961953
Group 2,201.01677962074
Group 2,202.01677962196
Group 2,201.01677962317
Group 2,202.01677962439
Group 2,202.01677962561
Group 2,201.01677962682
Group 2,202.01677962804
Group 2,201.01677962925
Group 2,202.01677963047
Group 2,201.01677963168
Group 2,202.01677963290
Group 2,202.01677963412
Group 2,201.01677963533
Group 2,4202.01677963655
Group 2,201.01677963776
Group 2,202.01677963898
