Group,IPERF
Group 1,8.95
Group 1,8.91
Group 1,8.91
Group 1,8.59
Group 1,8.69
Group 1,8.54
Group 1,8.83
Group 1,8.82
Group 1,8.57
Group 1,8.83
Group 1,8.67
Group 1,8.74
Group 1,8.64
Group 1,8.83
Group 1,8.87
Group 1,8.72
Group 1,8.97
Group 1,8.70
Group 1,8.92
Group 1,8.56
Group 1,8.77
Group 1,8.84
Group 1,8.74
Group 1,8.87
Group 1,8.87
Group 1,8.96
Group 1,8.80
Group 1,8.73
Group 1,8.81
Group 1,8.60
Group 2,31.82
Group 2,31.87
Group 2,31.83
Group 2,31.85
Group 2,31.82
Group 2,31.88
Group 2,31.85
Group 2,31.85
Group 2,31.86
Group 2,31.84
Group 2,31.76
Group 2,31.84
Group 2,31.87
Group 2,31.73
Group 2,31.81
Group 2,31.86
Group 2,31.84
Group 2,31.86
Group 2,31.85
Group 2,31.74
Group 2,31.86
Group 2,31.81
Group 2,31.82
Group 2,31.88
Group 2,31.84
Group 2,31.84
Group 2,31.86
Group 2,31.90
Group 2,31.84
Group 2,31.86
