Group,IPERF
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.09
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.09
Group 1,010.08
Group 1,010.09
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.10
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 1,010.08
Group 2,031.54
Group 2,031.84
Group 2,031.84
Group 2,031.88
Group 2,031.90
Group 2,031.83
Group 2,031.71
Group 2,031.83
Group 2,031.80
Group 2,031.87
Group 2,031.87
Group 2,031.86
Group 2,031.86
Group 2,031.87
Group 2,031.86
Group 2,031.86
Group 2,031.80
Group 2,031.88
Group 2,031.88
Group 2,031.85
Group 2,031.86
Group 2,031.86
Group 2,031.85
Group 2,031.85
Group 2,031.84
Group 2,031.67
Group 2,031.86
Group 2,031.85
Group 2,031.88
Group 2,031.84
