Group,IPERF
Group 1,8.87
Group 1,9.02
Group 1,8.93
Group 1,8.65
Group 1,8.91
Group 1,8.51
Group 1,8.97
Group 1,8.86
Group 1,8.65
Group 1,8.94
Group 1,8.85
Group 1,8.74
Group 1,8.78
Group 1,8.76
Group 1,8.89
Group 1,8.81
Group 1,8.97
Group 1,8.78
Group 1,8.91
Group 1,8.64
Group 1,8.69
Group 1,8.62
Group 1,8.97
Group 1,8.62
Group 1,8.77
Group 1,8.77
Group 1,8.83
Group 1,8.80
Group 1,8.78
Group 1,8.48
Group 2,31.85
Group 2,31.84
Group 2,31.84
Group 2,31.85
Group 2,31.85
Group 2,31.86
Group 2,31.85
Group 2,31.87
Group 2,31.65
Group 2,31.86
Group 2,31.86
Group 2,31.72
Group 2,31.87
Group 2,31.87
Group 2,31.84
Group 2,31.87
Group 2,31.87
Group 2,31.86
Group 2,31.86
Group 2,31.89
Group 2,31.76
Group 2,31.80
Group 2,31.85
Group 2,31.85
Group 2,31.84
Group 2,31.84
Group 2,31.87
Group 2,31.66
Group 2,31.79
Group 2,31.86
