"Group","media","LOG"
"Group 1",2.61677,0.96194073279234
"Group 1",2.58344,0.9491218441673046
"Group 1",1.18344,0.16842545160184336
"Group 1",1.38344,0.3245731510355297
"Group 1",17.4834,2.8612518593223126
"Group 1",2.48344,0.9096446958210381
"Group 1",2.51678,0.9229803066914462
"Group 1",2.51678,0.9229803066914462
"Group 1",2.48345,0.9096487224856109
"Group 1",1.21678,0.19620802527296627
"Group 2",17.4834,2.8612518593223126
"Group 2",18.8168,2.934750087819197
"Group 2",17.5168,2.863160420424168
"Group 2",18.8834,2.938283229249806
"Group 2",18.8168,2.934750087819197
"Group 2",18.7834,2.9329735010571625
"Group 2",18.8501,2.936518218919736
"Group 2",18.8501,2.936518218919736
"Group 2",17.5168,2.863160420424168
"Group 2",17.4501,2.859345379291042
