"Group","media","LOG"
"Group 1",11.4168,2.435085954804044
"Group 1",12.7501,2.545539114710933
"Group 1",12.6834,2.5402940518675585
"Group 1",12.7168,2.542923953935306
"Group 1",12.7168,2.542923953935306
"Group 1",12.7501,2.545539114710933
"Group 1",12.6834,2.5402940518675585
"Group 1",12.6834,2.5402940518675585
"Group 1",12.6834,2.5402940518675585
"Group 1",12.7168,2.542923953935306
"Group 2",29.4501,3.3826973056775693
"Group 2",28.0501,3.333992197024739
"Group 2",28.0834,3.335178654448784
"Group 2",161.35,5.083575918497971
"Group 2",29.3834,3.3804298890330937
"Group 2",28.1168,3.336367262458445
"Group 2",28.0834,3.335178654448784
"Group 2",161.417,5.083991078665909
"Group 2",29.4168,3.381565939712928
"Group 2",29.4501,3.3826973056775693
