"Group","media","LOG"
"Group 1",4.88343,1.5858478418208868
"Group 1",0.816775,-0.20239161984788887
"Group 1",0.516774,-0.6601496373768385
"Group 1",0.516775,-0.6601477022968374
"Group 1",7.88345,2.06476562531466
"Group 1",0.516774,-0.6601496373768385
"Group 1",1.88345,0.6331052014742646
"Group 1",1.81678,0.5970657033822607
"Group 1",0.483449,-0.726809450520952
"Group 1",1.85011,0.6152450967820493
"Group 2",7.91677,2.0689832943589344
"Group 2",9.21677,2.2210246508106217
"Group 2",142.517,4.959461290838849
"Group 2",142.517,4.959461290838849
"Group 2",7.91677,2.0689832943589344
"Group 2",9.25011,2.2246354433455178
"Group 2",7.95011,2.0731857650485046
"Group 2",9.25012,2.2246365244131585
"Group 2",9.21678,2.2210257357888272
