Data; Group; Nome_POD; CURL
ter 21 fev 2023 16:34:00 -03; Group 1; worker-78b9ff59fc-65vg4; 00.307
ter 21 fev 2023 16:34:01 -03; Group 1; worker-78b9ff59fc-65vg4; 00.415
ter 21 fev 2023 16:34:01 -03; Group 1; worker-78b9ff59fc-65vg4; 00.283
ter 21 fev 2023 16:34:02 -03; Group 1; worker-78b9ff59fc-65vg4; 00.297
ter 21 fev 2023 16:34:03 -03; Group 1; worker-78b9ff59fc-65vg4; 00.307
ter 21 fev 2023 16:34:03 -03; Group 1; worker-78b9ff59fc-65vg4; 00.306
ter 21 fev 2023 16:34:04 -03; Group 1; worker-78b9ff59fc-65vg4; 00.317
ter 21 fev 2023 16:34:05 -03; Group 1; worker-78b9ff59fc-65vg4; 00.315
ter 21 fev 2023 16:34:06 -03; Group 1; worker-78b9ff59fc-65vg4; 00.299
ter 21 fev 2023 16:34:06 -03; Group 1; worker-78b9ff59fc-65vg4; 00.281
ter 21 fev 2023 16:34:07 -03; Group 1; worker-78b9ff59fc-65vg4; 00.309
ter 21 fev 2023 16:34:08 -03; Group 1; worker-78b9ff59fc-65vg4; 00.292
ter 21 fev 2023 16:34:08 -03; Group 1; worker-78b9ff59fc-65vg4; 00.305
ter 21 fev 2023 16:34:09 -03; Group 1; worker-78b9ff59fc-65vg4; 00.318
ter 21 fev 2023 16:34:10 -03; Group 1; worker-78b9ff59fc-65vg4; 00.291
ter 21 fev 2023 16:34:11 -03; Group 1; worker-78b9ff59fc-65vg4; 00.292
ter 21 fev 2023 16:34:11 -03; Group 1; worker-78b9ff59fc-65vg4; 00.296
ter 21 fev 2023 16:34:12 -03; Group 1; worker-78b9ff59fc-65vg4; 00.306
ter 21 fev 2023 16:34:13 -03; Group 1; worker-78b9ff59fc-65vg4; 00.289
ter 21 fev 2023 16:34:13 -03; Group 1; worker-78b9ff59fc-65vg4; 00.291
ter 21 fev 2023 16:34:14 -03; Group 1; worker-78b9ff59fc-65vg4; 00.296
ter 21 fev 2023 16:34:15 -03; Group 1; worker-78b9ff59fc-65vg4; 00.310
ter 21 fev 2023 16:34:15 -03; Group 1; worker-78b9ff59fc-65vg4; 00.292
ter 21 fev 2023 16:34:16 -03; Group 1; worker-78b9ff59fc-65vg4; 00.306
ter 21 fev 2023 16:34:17 -03; Group 1; worker-78b9ff59fc-65vg4; 00.320
ter 21 fev 2023 16:34:18 -03; Group 1; worker-78b9ff59fc-65vg4; 00.298
ter 21 fev 2023 16:34:18 -03; Group 1; worker-78b9ff59fc-65vg4; 00.301
ter 21 fev 2023 16:34:19 -03; Group 1; worker-78b9ff59fc-65vg4; 00.276
ter 21 fev 2023 16:34:20 -03; Group 1; worker-78b9ff59fc-65vg4; 00.298
ter 21 fev 2023 16:34:20 -03; Group 1; worker-78b9ff59fc-65vg4; 00.270
