Data; Group; Nome_POD; APT
ter 07 mar 2023 16:24:58 -03; Group 1; vote-79787c6c8b-hdd92; 0.76
ter 07 mar 2023 16:24:59 -03; Group 1; vote-79787c6c8b-hdd92; 0.36
ter 07 mar 2023 16:25:00 -03; Group 1; vote-79787c6c8b-hdd92; 0.36
ter 07 mar 2023 16:25:01 -03; Group 1; vote-79787c6c8b-hdd92; 0.37
ter 07 mar 2023 16:25:01 -03; Group 1; vote-79787c6c8b-hdd92; 0.38
ter 07 mar 2023 16:25:02 -03; Group 1; vote-79787c6c8b-hdd92; 0.35
ter 07 mar 2023 16:25:03 -03; Group 1; vote-79787c6c8b-hdd92; 0.37
ter 07 mar 2023 16:25:04 -03; Group 1; vote-79787c6c8b-hdd92; 0.36
ter 07 mar 2023 16:25:04 -03; Group 1; vote-79787c6c8b-hdd92; 0.34
ter 07 mar 2023 16:25:05 -03; Group 1; vote-79787c6c8b-hdd92; 0.35
ter 07 mar 2023 16:25:06 -03; Group 1; vote-79787c6c8b-hdd92; 0.35
ter 07 mar 2023 16:25:07 -03; Group 1; vote-79787c6c8b-hdd92; 0.35
ter 07 mar 2023 16:25:07 -03; Group 1; vote-79787c6c8b-hdd92; 0.35
ter 07 mar 2023 16:25:08 -03; Group 1; vote-79787c6c8b-hdd92; 0.35
ter 07 mar 2023 16:25:10 -03; Group 1; vote-79787c6c8b-hdd92; 1.14
ter 07 mar 2023 16:25:11 -03; Group 1; vote-79787c6c8b-hdd92; 0.40
ter 07 mar 2023 16:25:11 -03; Group 1; vote-79787c6c8b-hdd92; 0.38
ter 07 mar 2023 16:25:12 -03; Group 1; vote-79787c6c8b-hdd92; 0.36
ter 07 mar 2023 16:25:13 -03; Group 1; vote-79787c6c8b-hdd92; 0.35
ter 07 mar 2023 16:25:13 -03; Group 1; vote-79787c6c8b-hdd92; 0.38
ter 07 mar 2023 16:25:14 -03; Group 1; vote-79787c6c8b-hdd92; 0.39
ter 07 mar 2023 16:25:15 -03; Group 1; vote-79787c6c8b-hdd92; 0.35
ter 07 mar 2023 16:25:16 -03; Group 1; vote-79787c6c8b-hdd92; 0.36
ter 07 mar 2023 16:25:17 -03; Group 1; vote-79787c6c8b-hdd92; 0.39
ter 07 mar 2023 16:25:17 -03; Group 1; vote-79787c6c8b-hdd92; 0.34
ter 07 mar 2023 16:25:19 -03; Group 1; vote-79787c6c8b-hdd92; 0.54
ter 07 mar 2023 16:25:20 -03; Group 1; vote-79787c6c8b-hdd92; 0.73
ter 07 mar 2023 16:25:21 -03; Group 1; vote-79787c6c8b-hdd92; 0.36
ter 07 mar 2023 16:25:21 -03; Group 1; vote-79787c6c8b-hdd92; 0.36
ter 07 mar 2023 16:25:22 -03; Group 1; vote-79787c6c8b-hdd92; 0.37
