Data; Group; Nome_POD; CURL
ter 07 mar 2023 15:58:48 -03; Group 1; redis-67db9bd79b-msprv; 00.27
ter 07 mar 2023 15:58:48 -03; Group 1; redis-67db9bd79b-msprv; 00.25
ter 07 mar 2023 15:58:49 -03; Group 1; redis-67db9bd79b-msprv; 00.26
ter 07 mar 2023 15:58:50 -03; Group 1; redis-67db9bd79b-msprv; 00.26
ter 07 mar 2023 15:58:51 -03; Group 1; redis-67db9bd79b-msprv; 00.25
ter 07 mar 2023 15:58:51 -03; Group 1; redis-67db9bd79b-msprv; 00.23
ter 07 mar 2023 15:58:52 -03; Group 1; redis-67db9bd79b-msprv; 00.26
ter 07 mar 2023 15:58:52 -03; Group 1; redis-67db9bd79b-msprv; 00.26
ter 07 mar 2023 15:58:53 -03; Group 1; redis-67db9bd79b-msprv; 00.26
ter 07 mar 2023 15:58:54 -03; Group 1; redis-67db9bd79b-msprv; 00.25
ter 07 mar 2023 15:58:54 -03; Group 1; redis-67db9bd79b-msprv; 00.26
ter 07 mar 2023 15:58:55 -03; Group 1; redis-67db9bd79b-msprv; 00.27
ter 07 mar 2023 15:58:56 -03; Group 1; redis-67db9bd79b-msprv; 00.24
ter 07 mar 2023 15:58:56 -03; Group 1; redis-67db9bd79b-msprv; 00.25
ter 07 mar 2023 15:58:57 -03; Group 1; redis-67db9bd79b-msprv; 00.26
ter 07 mar 2023 15:58:58 -03; Group 1; redis-67db9bd79b-msprv; 00.25
ter 07 mar 2023 15:58:58 -03; Group 1; redis-67db9bd79b-msprv; 00.27
ter 07 mar 2023 15:58:59 -03; Group 1; redis-67db9bd79b-msprv; 00.26
ter 07 mar 2023 15:59:00 -03; Group 1; redis-67db9bd79b-msprv; 00.26
ter 07 mar 2023 15:59:00 -03; Group 1; redis-67db9bd79b-msprv; 00.26
ter 07 mar 2023 15:59:01 -03; Group 1; redis-67db9bd79b-msprv; 00.27
ter 07 mar 2023 15:59:02 -03; Group 1; redis-67db9bd79b-msprv; 00.25
ter 07 mar 2023 15:59:02 -03; Group 1; redis-67db9bd79b-msprv; 00.24
ter 07 mar 2023 15:59:03 -03; Group 1; redis-67db9bd79b-msprv; 00.28
ter 07 mar 2023 15:59:04 -03; Group 1; redis-67db9bd79b-msprv; 00.25
ter 07 mar 2023 15:59:04 -03; Group 1; redis-67db9bd79b-msprv; 00.26
ter 07 mar 2023 15:59:05 -03; Group 1; redis-67db9bd79b-msprv; 00.26
ter 07 mar 2023 15:59:06 -03; Group 1; redis-67db9bd79b-msprv; 00.25
ter 07 mar 2023 15:59:06 -03; Group 1; redis-67db9bd79b-msprv; 00.27
ter 07 mar 2023 15:59:07 -03; Group 1; redis-67db9bd79b-msprv; 00.24
