Data; Group; Nome_POD; CURL
ter 07 mar 2023 15:59:08 -03; Group 1; result-77f68799c4-tkqx9; 00.294
ter 07 mar 2023 15:59:08 -03; Group 1; result-77f68799c4-tkqx9; 00.293
ter 07 mar 2023 15:59:09 -03; Group 1; result-77f68799c4-tkqx9; 00.323
ter 07 mar 2023 15:59:10 -03; Group 1; result-77f68799c4-tkqx9; 00.288
ter 07 mar 2023 15:59:11 -03; Group 1; result-77f68799c4-tkqx9; 00.315
ter 07 mar 2023 15:59:11 -03; Group 1; result-77f68799c4-tkqx9; 00.315
ter 07 mar 2023 15:59:12 -03; Group 1; result-77f68799c4-tkqx9; 00.287
ter 07 mar 2023 15:59:13 -03; Group 1; result-77f68799c4-tkqx9; 00.305
ter 07 mar 2023 15:59:13 -03; Group 1; result-77f68799c4-tkqx9; 00.310
ter 07 mar 2023 15:59:14 -03; Group 1; result-77f68799c4-tkqx9; 00.297
ter 07 mar 2023 15:59:15 -03; Group 1; result-77f68799c4-tkqx9; 00.276
ter 07 mar 2023 15:59:15 -03; Group 1; result-77f68799c4-tkqx9; 00.296
ter 07 mar 2023 15:59:16 -03; Group 1; result-77f68799c4-tkqx9; 00.302
ter 07 mar 2023 15:59:17 -03; Group 1; result-77f68799c4-tkqx9; 00.288
ter 07 mar 2023 15:59:17 -03; Group 1; result-77f68799c4-tkqx9; 00.285
ter 07 mar 2023 15:59:18 -03; Group 1; result-77f68799c4-tkqx9; 00.293
ter 07 mar 2023 15:59:19 -03; Group 1; result-77f68799c4-tkqx9; 00.291
ter 07 mar 2023 15:59:19 -03; Group 1; result-77f68799c4-tkqx9; 00.323
ter 07 mar 2023 15:59:20 -03; Group 1; result-77f68799c4-tkqx9; 00.309
ter 07 mar 2023 15:59:21 -03; Group 1; result-77f68799c4-tkqx9; 00.273
ter 07 mar 2023 15:59:21 -03; Group 1; result-77f68799c4-tkqx9; 00.300
ter 07 mar 2023 15:59:22 -03; Group 1; result-77f68799c4-tkqx9; 00.285
ter 07 mar 2023 15:59:23 -03; Group 1; result-77f68799c4-tkqx9; 00.280
ter 07 mar 2023 15:59:23 -03; Group 1; result-77f68799c4-tkqx9; 00.302
ter 07 mar 2023 15:59:24 -03; Group 1; result-77f68799c4-tkqx9; 00.298
ter 07 mar 2023 15:59:25 -03; Group 1; result-77f68799c4-tkqx9; 00.284
ter 07 mar 2023 15:59:25 -03; Group 1; result-77f68799c4-tkqx9; 00.287
ter 07 mar 2023 15:59:26 -03; Group 1; result-77f68799c4-tkqx9; 00.288
ter 07 mar 2023 15:59:27 -03; Group 1; result-77f68799c4-tkqx9; 00.288
ter 07 mar 2023 15:59:27 -03; Group 1; result-77f68799c4-tkqx9; 00.313
