Data,Group,Nome_POD,WGET
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.310
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.259
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.270
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.286
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.301
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.294
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.308
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.280
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.284
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.259
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.269
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.281
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.283
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.297
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.279
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.281
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.279
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.270
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.286
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.284
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.272
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.265
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.324
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.300
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.264
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.296
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.289
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.279
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.285
07-03-2023,Group 1,db-684b9b49fd-75jjw,00.264
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.31
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.33
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.34
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.33
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.34
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.31
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.31
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.33
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.36
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.33
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.34
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.32
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.31
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.34
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.31
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.33
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.36
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.35
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.31
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.33
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.32
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.34
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.32
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.33
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.31
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.31
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.34
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.33
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.33
07-03-2023,Group 1,redis-67db9bd79b-msprv,00.32
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.297
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.283
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.289
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.289
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.272
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.290
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.277
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.287
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.282
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.271
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.273
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.279
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.278
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.287
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.271
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.282
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.296
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.297
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.284
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.288
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.295
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.286
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.272
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.279
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.302
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.261
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.287
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.293
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.265
07-03-2023,Group 1,result-77f68799c4-tkqx9,00.334
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.29
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.28
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.26
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.29
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.31
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.28
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.29
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.31
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.27
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.29
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.26
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.30
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.31
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.33
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.27
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.27
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.29
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.28
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.29
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.29
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.36
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.29
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.29
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.30
07-03-2023,Group 1,vote-79787c6c8b-hdd92,00.27
