Data; Group; Nome_POD; CURL
sex 24 fev 2023 19:02:30 -03; Group 1; vote-79787c6c8b-dbn8r; 00.29
sex 24 fev 2023 19:02:31 -03; Group 1; vote-79787c6c8b-dbn8r; 00.29
sex 24 fev 2023 19:02:32 -03; Group 1; vote-79787c6c8b-dbn8r; 00.26
sex 24 fev 2023 19:02:32 -03; Group 1; vote-79787c6c8b-dbn8r; 00.29
sex 24 fev 2023 19:02:33 -03; Group 1; vote-79787c6c8b-dbn8r; 00.25
sex 24 fev 2023 19:02:34 -03; Group 1; vote-79787c6c8b-dbn8r; 00.26
sex 24 fev 2023 19:02:34 -03; Group 1; vote-79787c6c8b-dbn8r; 00.28
sex 24 fev 2023 19:02:35 -03; Group 1; vote-79787c6c8b-dbn8r; 00.31
sex 24 fev 2023 19:02:36 -03; Group 1; vote-79787c6c8b-dbn8r; 00.28
sex 24 fev 2023 19:02:36 -03; Group 1; vote-79787c6c8b-dbn8r; 00.27
sex 24 fev 2023 19:02:37 -03; Group 1; vote-79787c6c8b-dbn8r; 00.30
sex 24 fev 2023 19:02:38 -03; Group 1; vote-79787c6c8b-dbn8r; 00.28
sex 24 fev 2023 19:02:38 -03; Group 1; vote-79787c6c8b-dbn8r; 00.26
sex 24 fev 2023 19:02:39 -03; Group 1; vote-79787c6c8b-dbn8r; 00.28
sex 24 fev 2023 19:02:40 -03; Group 1; vote-79787c6c8b-dbn8r; 00.26
sex 24 fev 2023 19:02:40 -03; Group 1; vote-79787c6c8b-dbn8r; 00.28
sex 24 fev 2023 19:02:41 -03; Group 1; vote-79787c6c8b-dbn8r; 00.28
sex 24 fev 2023 19:02:42 -03; Group 1; vote-79787c6c8b-dbn8r; 00.30
sex 24 fev 2023 19:02:42 -03; Group 1; vote-79787c6c8b-dbn8r; 00.26
sex 24 fev 2023 19:02:43 -03; Group 1; vote-79787c6c8b-dbn8r; 00.27
sex 24 fev 2023 19:02:44 -03; Group 1; vote-79787c6c8b-dbn8r; 00.28
sex 24 fev 2023 19:02:44 -03; Group 1; vote-79787c6c8b-dbn8r; 00.31
sex 24 fev 2023 19:02:45 -03; Group 1; vote-79787c6c8b-dbn8r; 00.28
sex 24 fev 2023 19:02:46 -03; Group 1; vote-79787c6c8b-dbn8r; 00.30
sex 24 fev 2023 19:02:46 -03; Group 1; vote-79787c6c8b-dbn8r; 00.27
sex 24 fev 2023 19:02:47 -03; Group 1; vote-79787c6c8b-dbn8r; 00.36
sex 24 fev 2023 19:02:48 -03; Group 1; vote-79787c6c8b-dbn8r; 00.26
sex 24 fev 2023 19:02:49 -03; Group 1; vote-79787c6c8b-dbn8r; 00.29
sex 24 fev 2023 19:02:49 -03; Group 1; vote-79787c6c8b-dbn8r; 00.27
sex 24 fev 2023 19:02:50 -03; Group 1; vote-79787c6c8b-dbn8r; 00.28
