Data; Group; Nome_POD; WGET
sex 24 fev 2023 19:09:54 -03; Group 1; redis-67db9bd79b-vfkg5; 00.34
sex 24 fev 2023 19:09:55 -03; Group 1; redis-67db9bd79b-vfkg5; 00.34
sex 24 fev 2023 19:09:56 -03; Group 1; redis-67db9bd79b-vfkg5; 00.34
sex 24 fev 2023 19:09:56 -03; Group 1; redis-67db9bd79b-vfkg5; 00.37
sex 24 fev 2023 19:09:57 -03; Group 1; redis-67db9bd79b-vfkg5; 00.39
sex 24 fev 2023 19:09:58 -03; Group 1; redis-67db9bd79b-vfkg5; 00.36
sex 24 fev 2023 19:09:59 -03; Group 1; redis-67db9bd79b-vfkg5; 00.37
sex 24 fev 2023 19:09:59 -03; Group 1; redis-67db9bd79b-vfkg5; 00.32
sex 24 fev 2023 19:10:00 -03; Group 1; redis-67db9bd79b-vfkg5; 00.33
sex 24 fev 2023 19:10:01 -03; Group 1; redis-67db9bd79b-vfkg5; 00.35
sex 24 fev 2023 19:10:02 -03; Group 1; redis-67db9bd79b-vfkg5; 00.34
sex 24 fev 2023 19:10:02 -03; Group 1; redis-67db9bd79b-vfkg5; 00.33
sex 24 fev 2023 19:10:03 -03; Group 1; redis-67db9bd79b-vfkg5; 00.35
sex 24 fev 2023 19:10:04 -03; Group 1; redis-67db9bd79b-vfkg5; 00.39
sex 24 fev 2023 19:10:05 -03; Group 1; redis-67db9bd79b-vfkg5; 00.35
sex 24 fev 2023 19:10:05 -03; Group 1; redis-67db9bd79b-vfkg5; 00.34
sex 24 fev 2023 19:10:06 -03; Group 1; redis-67db9bd79b-vfkg5; 00.34
sex 24 fev 2023 19:10:07 -03; Group 1; redis-67db9bd79b-vfkg5; 00.34
sex 24 fev 2023 19:10:08 -03; Group 1; redis-67db9bd79b-vfkg5; 00.32
sex 24 fev 2023 19:10:09 -03; Group 1; redis-67db9bd79b-vfkg5; 00.36
sex 24 fev 2023 19:10:09 -03; Group 1; redis-67db9bd79b-vfkg5; 00.33
sex 24 fev 2023 19:10:10 -03; Group 1; redis-67db9bd79b-vfkg5; 00.34
sex 24 fev 2023 19:10:11 -03; Group 1; redis-67db9bd79b-vfkg5; 00.33
sex 24 fev 2023 19:10:11 -03; Group 1; redis-67db9bd79b-vfkg5; 00.33
sex 24 fev 2023 19:10:12 -03; Group 1; redis-67db9bd79b-vfkg5; 00.34
sex 24 fev 2023 19:10:13 -03; Group 1; redis-67db9bd79b-vfkg5; 00.35
sex 24 fev 2023 19:10:14 -03; Group 1; redis-67db9bd79b-vfkg5; 00.37
sex 24 fev 2023 19:10:14 -03; Group 1; redis-67db9bd79b-vfkg5; 00.33
sex 24 fev 2023 19:10:15 -03; Group 1; redis-67db9bd79b-vfkg5; 00.33
sex 24 fev 2023 19:10:16 -03; Group 1; redis-67db9bd79b-vfkg5; 00.32
