Data; Group; Nome_POD; WGET
sex 24 fev 2023 19:10:17 -03; Group 1; result-77f68799c4-2p4sr; 00.292
sex 24 fev 2023 19:10:17 -03; Group 1; result-77f68799c4-2p4sr; 00.364
sex 24 fev 2023 19:10:18 -03; Group 1; result-77f68799c4-2p4sr; 00.306
sex 24 fev 2023 19:10:19 -03; Group 1; result-77f68799c4-2p4sr; 00.326
sex 24 fev 2023 19:10:19 -03; Group 1; result-77f68799c4-2p4sr; 00.298
sex 24 fev 2023 19:10:20 -03; Group 1; result-77f68799c4-2p4sr; 00.295
sex 24 fev 2023 19:10:21 -03; Group 1; result-77f68799c4-2p4sr; 00.303
sex 24 fev 2023 19:10:21 -03; Group 1; result-77f68799c4-2p4sr; 00.276
sex 24 fev 2023 19:10:22 -03; Group 1; result-77f68799c4-2p4sr; 00.308
sex 24 fev 2023 19:10:23 -03; Group 1; result-77f68799c4-2p4sr; 00.265
sex 24 fev 2023 19:10:23 -03; Group 1; result-77f68799c4-2p4sr; 00.322
sex 24 fev 2023 19:10:24 -03; Group 1; result-77f68799c4-2p4sr; 00.280
sex 24 fev 2023 19:10:25 -03; Group 1; result-77f68799c4-2p4sr; 00.302
sex 24 fev 2023 19:10:26 -03; Group 1; result-77f68799c4-2p4sr; 00.303
sex 24 fev 2023 19:10:26 -03; Group 1; result-77f68799c4-2p4sr; 00.299
sex 24 fev 2023 19:10:27 -03; Group 1; result-77f68799c4-2p4sr; 00.286
sex 24 fev 2023 19:10:28 -03; Group 1; result-77f68799c4-2p4sr; 00.298
sex 24 fev 2023 19:10:28 -03; Group 1; result-77f68799c4-2p4sr; 00.267
sex 24 fev 2023 19:10:29 -03; Group 1; result-77f68799c4-2p4sr; 00.301
sex 24 fev 2023 19:10:30 -03; Group 1; result-77f68799c4-2p4sr; 00.331
sex 24 fev 2023 19:10:31 -03; Group 1; result-77f68799c4-2p4sr; 00.281
sex 24 fev 2023 19:10:31 -03; Group 1; result-77f68799c4-2p4sr; 00.278
sex 24 fev 2023 19:10:32 -03; Group 1; result-77f68799c4-2p4sr; 00.284
sex 24 fev 2023 19:10:33 -03; Group 1; result-77f68799c4-2p4sr; 00.292
sex 24 fev 2023 19:10:33 -03; Group 1; result-77f68799c4-2p4sr; 00.280
sex 24 fev 2023 19:10:34 -03; Group 1; result-77f68799c4-2p4sr; 00.308
sex 24 fev 2023 19:10:35 -03; Group 1; result-77f68799c4-2p4sr; 00.299
sex 24 fev 2023 19:10:35 -03; Group 1; result-77f68799c4-2p4sr; 00.300
sex 24 fev 2023 19:10:36 -03; Group 1; result-77f68799c4-2p4sr; 00.284
sex 24 fev 2023 19:10:37 -03; Group 1; result-77f68799c4-2p4sr; 00.284
