Data; Group; Nome_POD; WGET
sex 24 fev 2023 19:10:37 -03; Group 1; vote-79787c6c8b-dbn8r; 00.31
sex 24 fev 2023 19:10:38 -03; Group 1; vote-79787c6c8b-dbn8r; 00.30
sex 24 fev 2023 19:10:39 -03; Group 1; vote-79787c6c8b-dbn8r; 00.30
sex 24 fev 2023 19:10:39 -03; Group 1; vote-79787c6c8b-dbn8r; 00.33
sex 24 fev 2023 19:10:40 -03; Group 1; vote-79787c6c8b-dbn8r; 00.28
sex 24 fev 2023 19:10:41 -03; Group 1; vote-79787c6c8b-dbn8r; 00.33
sex 24 fev 2023 19:10:42 -03; Group 1; vote-79787c6c8b-dbn8r; 00.31
sex 24 fev 2023 19:10:42 -03; Group 1; vote-79787c6c8b-dbn8r; 00.32
sex 24 fev 2023 19:10:43 -03; Group 1; vote-79787c6c8b-dbn8r; 00.28
sex 24 fev 2023 19:10:44 -03; Group 1; vote-79787c6c8b-dbn8r; 00.28
sex 24 fev 2023 19:10:44 -03; Group 1; vote-79787c6c8b-dbn8r; 00.31
sex 24 fev 2023 19:10:45 -03; Group 1; vote-79787c6c8b-dbn8r; 00.31
sex 24 fev 2023 19:10:46 -03; Group 1; vote-79787c6c8b-dbn8r; 00.29
sex 24 fev 2023 19:10:46 -03; Group 1; vote-79787c6c8b-dbn8r; 00.30
sex 24 fev 2023 19:10:47 -03; Group 1; vote-79787c6c8b-dbn8r; 00.29
sex 24 fev 2023 19:10:48 -03; Group 1; vote-79787c6c8b-dbn8r; 00.28
sex 24 fev 2023 19:10:48 -03; Group 1; vote-79787c6c8b-dbn8r; 00.30
sex 24 fev 2023 19:10:49 -03; Group 1; vote-79787c6c8b-dbn8r; 00.29
sex 24 fev 2023 19:10:50 -03; Group 1; vote-79787c6c8b-dbn8r; 00.29
sex 24 fev 2023 19:10:51 -03; Group 1; vote-79787c6c8b-dbn8r; 00.29
sex 24 fev 2023 19:10:51 -03; Group 1; vote-79787c6c8b-dbn8r; 00.30
sex 24 fev 2023 19:10:52 -03; Group 1; vote-79787c6c8b-dbn8r; 00.29
sex 24 fev 2023 19:10:53 -03; Group 1; vote-79787c6c8b-dbn8r; 00.28
sex 24 fev 2023 19:10:53 -03; Group 1; vote-79787c6c8b-dbn8r; 00.27
sex 24 fev 2023 19:10:54 -03; Group 1; vote-79787c6c8b-dbn8r; 00.35
sex 24 fev 2023 19:10:55 -03; Group 1; vote-79787c6c8b-dbn8r; 00.30
sex 24 fev 2023 19:10:55 -03; Group 1; vote-79787c6c8b-dbn8r; 00.28
sex 24 fev 2023 19:10:56 -03; Group 1; vote-79787c6c8b-dbn8r; 00.30
sex 24 fev 2023 19:10:57 -03; Group 1; vote-79787c6c8b-dbn8r; 00.29
sex 24 fev 2023 19:10:58 -03; Group 1; vote-79787c6c8b-dbn8r; 00.32
