Data; Group; Nome_POD; PING
sáb 25 fev 2023 23:15:48 -03; Group 1; vote-79787c6c8b-5z79m; 7.19
sáb 25 fev 2023 23:15:55 -03; Group 1; vote-79787c6c8b-5z79m; 7.17
sáb 25 fev 2023 23:16:03 -03; Group 1; vote-79787c6c8b-5z79m; 7.16
sáb 25 fev 2023 23:16:10 -03; Group 1; vote-79787c6c8b-5z79m; 7.15
sáb 25 fev 2023 23:16:18 -03; Group 1; vote-79787c6c8b-5z79m; 7.16
sáb 25 fev 2023 23:16:25 -03; Group 1; vote-79787c6c8b-5z79m; 7.17
sáb 25 fev 2023 23:16:33 -03; Group 1; vote-79787c6c8b-5z79m; 7.14
sáb 25 fev 2023 23:16:41 -03; Group 1; vote-79787c6c8b-5z79m; 7.20
sáb 25 fev 2023 23:16:48 -03; Group 1; vote-79787c6c8b-5z79m; 7.16
sáb 25 fev 2023 23:16:56 -03; Group 1; vote-79787c6c8b-5z79m; 7.15
sáb 25 fev 2023 23:17:03 -03; Group 1; vote-79787c6c8b-5z79m; 7.20
sáb 25 fev 2023 23:17:11 -03; Group 1; vote-79787c6c8b-5z79m; 7.16
sáb 25 fev 2023 23:17:18 -03; Group 1; vote-79787c6c8b-5z79m; 7.19
sáb 25 fev 2023 23:17:26 -03; Group 1; vote-79787c6c8b-5z79m; 7.21
sáb 25 fev 2023 23:17:33 -03; Group 1; vote-79787c6c8b-5z79m; 7.15
sáb 25 fev 2023 23:17:41 -03; Group 1; vote-79787c6c8b-5z79m; 7.17
sáb 25 fev 2023 23:17:49 -03; Group 1; vote-79787c6c8b-5z79m; 7.20
sáb 25 fev 2023 23:17:56 -03; Group 1; vote-79787c6c8b-5z79m; 7.15
sáb 25 fev 2023 23:18:04 -03; Group 1; vote-79787c6c8b-5z79m; 7.17
sáb 25 fev 2023 23:18:11 -03; Group 1; vote-79787c6c8b-5z79m; 7.20
sáb 25 fev 2023 23:18:19 -03; Group 1; vote-79787c6c8b-5z79m; 7.20
sáb 25 fev 2023 23:18:27 -03; Group 1; vote-79787c6c8b-5z79m; 7.17
sáb 25 fev 2023 23:18:34 -03; Group 1; vote-79787c6c8b-5z79m; 7.18
sáb 25 fev 2023 23:18:42 -03; Group 1; vote-79787c6c8b-5z79m; 7.14
sáb 25 fev 2023 23:18:49 -03; Group 1; vote-79787c6c8b-5z79m; 7.14
sáb 25 fev 2023 23:18:57 -03; Group 1; vote-79787c6c8b-5z79m; 7.17
sáb 25 fev 2023 23:19:04 -03; Group 1; vote-79787c6c8b-5z79m; 7.21
sáb 25 fev 2023 23:19:12 -03; Group 1; vote-79787c6c8b-5z79m; 7.21
sáb 25 fev 2023 23:19:20 -03; Group 1; vote-79787c6c8b-5z79m; 7.10
sáb 25 fev 2023 23:19:27 -03; Group 1; vote-79787c6c8b-5z79m; 7.21
