Data; Group; Nome_POD; PING
sáb 25 fev 2023 23:19:35 -03; Group 1; worker-78b9ff59fc-shzk5; 007.00
sáb 25 fev 2023 23:19:42 -03; Group 1; worker-78b9ff59fc-shzk5; 007.00
sáb 25 fev 2023 23:19:49 -03; Group 1; worker-78b9ff59fc-shzk5; 007.03
sáb 25 fev 2023 23:19:57 -03; Group 1; worker-78b9ff59fc-shzk5; 007.01
sáb 25 fev 2023 23:20:04 -03; Group 1; worker-78b9ff59fc-shzk5; 007.01
sáb 25 fev 2023 23:20:12 -03; Group 1; worker-78b9ff59fc-shzk5; 007.01
sáb 25 fev 2023 23:20:19 -03; Group 1; worker-78b9ff59fc-shzk5; 007.00
sáb 25 fev 2023 23:20:27 -03; Group 1; worker-78b9ff59fc-shzk5; 007.01
sáb 25 fev 2023 23:20:34 -03; Group 1; worker-78b9ff59fc-shzk5; 007.00
sáb 25 fev 2023 23:20:41 -03; Group 1; worker-78b9ff59fc-shzk5; 007.00
sáb 25 fev 2023 23:20:49 -03; Group 1; worker-78b9ff59fc-shzk5; 007.01
sáb 25 fev 2023 23:20:56 -03; Group 1; worker-78b9ff59fc-shzk5; 007.01
sáb 25 fev 2023 23:21:04 -03; Group 1; worker-78b9ff59fc-shzk5; 007.01
sáb 25 fev 2023 23:21:11 -03; Group 1; worker-78b9ff59fc-shzk5; 007.00
sáb 25 fev 2023 23:21:19 -03; Group 1; worker-78b9ff59fc-shzk5; 007.00
sáb 25 fev 2023 23:21:26 -03; Group 1; worker-78b9ff59fc-shzk5; 007.01
sáb 25 fev 2023 23:21:33 -03; Group 1; worker-78b9ff59fc-shzk5; 007.01
sáb 25 fev 2023 23:21:41 -03; Group 1; worker-78b9ff59fc-shzk5; 007.01
sáb 25 fev 2023 23:21:48 -03; Group 1; worker-78b9ff59fc-shzk5; 007.01
sáb 25 fev 2023 23:21:56 -03; Group 1; worker-78b9ff59fc-shzk5; 007.01
sáb 25 fev 2023 23:22:03 -03; Group 1; worker-78b9ff59fc-shzk5; 007.05
sáb 25 fev 2023 23:22:11 -03; Group 1; worker-78b9ff59fc-shzk5; 007.01
sáb 25 fev 2023 23:22:18 -03; Group 1; worker-78b9ff59fc-shzk5; 007.01
sáb 25 fev 2023 23:22:25 -03; Group 1; worker-78b9ff59fc-shzk5; 007.01
sáb 25 fev 2023 23:22:33 -03; Group 1; worker-78b9ff59fc-shzk5; 007.00
sáb 25 fev 2023 23:22:40 -03; Group 1; worker-78b9ff59fc-shzk5; 007.00
sáb 25 fev 2023 23:22:48 -03; Group 1; worker-78b9ff59fc-shzk5; 007.00
sáb 25 fev 2023 23:22:55 -03; Group 1; worker-78b9ff59fc-shzk5; 007.01
sáb 25 fev 2023 23:23:02 -03; Group 1; worker-78b9ff59fc-shzk5; 007.01
sáb 25 fev 2023 23:23:10 -03; Group 1; worker-78b9ff59fc-shzk5; 007.01
