Data; Group; Nome_POD; WGET
sáb 25 fev 2023 23:24:35 -03; Group 1; result-77f68799c4-6z8xk; 00.303
sáb 25 fev 2023 23:24:36 -03; Group 1; result-77f68799c4-6z8xk; 00.284
sáb 25 fev 2023 23:24:36 -03; Group 1; result-77f68799c4-6z8xk; 00.300
sáb 25 fev 2023 23:24:37 -03; Group 1; result-77f68799c4-6z8xk; 00.319
sáb 25 fev 2023 23:24:38 -03; Group 1; result-77f68799c4-6z8xk; 00.278
sáb 25 fev 2023 23:24:39 -03; Group 1; result-77f68799c4-6z8xk; 00.288
sáb 25 fev 2023 23:24:39 -03; Group 1; result-77f68799c4-6z8xk; 00.280
sáb 25 fev 2023 23:24:40 -03; Group 1; result-77f68799c4-6z8xk; 00.312
sáb 25 fev 2023 23:24:41 -03; Group 1; result-77f68799c4-6z8xk; 00.255
sáb 25 fev 2023 23:24:41 -03; Group 1; result-77f68799c4-6z8xk; 00.282
sáb 25 fev 2023 23:24:42 -03; Group 1; result-77f68799c4-6z8xk; 00.301
sáb 25 fev 2023 23:24:43 -03; Group 1; result-77f68799c4-6z8xk; 00.301
sáb 25 fev 2023 23:24:43 -03; Group 1; result-77f68799c4-6z8xk; 00.274
sáb 25 fev 2023 23:24:44 -03; Group 1; result-77f68799c4-6z8xk; 00.330
sáb 25 fev 2023 23:24:45 -03; Group 1; result-77f68799c4-6z8xk; 00.278
sáb 25 fev 2023 23:24:45 -03; Group 1; result-77f68799c4-6z8xk; 00.272
sáb 25 fev 2023 23:24:46 -03; Group 1; result-77f68799c4-6z8xk; 00.280
sáb 25 fev 2023 23:24:47 -03; Group 1; result-77f68799c4-6z8xk; 00.287
sáb 25 fev 2023 23:24:47 -03; Group 1; result-77f68799c4-6z8xk; 00.339
sáb 25 fev 2023 23:24:48 -03; Group 1; result-77f68799c4-6z8xk; 00.280
sáb 25 fev 2023 23:24:49 -03; Group 1; result-77f68799c4-6z8xk; 00.296
sáb 25 fev 2023 23:24:49 -03; Group 1; result-77f68799c4-6z8xk; 00.276
sáb 25 fev 2023 23:24:50 -03; Group 1; result-77f68799c4-6z8xk; 00.310
sáb 25 fev 2023 23:24:51 -03; Group 1; result-77f68799c4-6z8xk; 00.302
sáb 25 fev 2023 23:24:51 -03; Group 1; result-77f68799c4-6z8xk; 00.293
sáb 25 fev 2023 23:24:52 -03; Group 1; result-77f68799c4-6z8xk; 00.306
sáb 25 fev 2023 23:24:53 -03; Group 1; result-77f68799c4-6z8xk; 00.285
sáb 25 fev 2023 23:24:54 -03; Group 1; result-77f68799c4-6z8xk; 00.323
sáb 25 fev 2023 23:24:54 -03; Group 1; result-77f68799c4-6z8xk; 00.299
sáb 25 fev 2023 23:24:55 -03; Group 1; result-77f68799c4-6z8xk; 00.306
