Data; Group; Nome_POD; APT
seg 27 fev 2023 11:05:08 -03; Group 1; vote-79787c6c8b-kb9gv; 0.78
seg 27 fev 2023 11:05:09 -03; Group 1; vote-79787c6c8b-kb9gv; 0.38
seg 27 fev 2023 11:05:09 -03; Group 1; vote-79787c6c8b-kb9gv; 0.37
seg 27 fev 2023 11:05:11 -03; Group 1; vote-79787c6c8b-kb9gv; 0.42
seg 27 fev 2023 11:05:11 -03; Group 1; vote-79787c6c8b-kb9gv; 0.36
seg 27 fev 2023 11:05:12 -03; Group 1; vote-79787c6c8b-kb9gv; 0.36
seg 27 fev 2023 11:05:13 -03; Group 1; vote-79787c6c8b-kb9gv; 0.40
seg 27 fev 2023 11:05:14 -03; Group 1; vote-79787c6c8b-kb9gv; 0.36
seg 27 fev 2023 11:05:14 -03; Group 1; vote-79787c6c8b-kb9gv; 0.35
seg 27 fev 2023 11:05:15 -03; Group 1; vote-79787c6c8b-kb9gv; 0.39
seg 27 fev 2023 11:05:16 -03; Group 1; vote-79787c6c8b-kb9gv; 0.40
seg 27 fev 2023 11:05:17 -03; Group 1; vote-79787c6c8b-kb9gv; 0.39
seg 27 fev 2023 11:05:18 -03; Group 1; vote-79787c6c8b-kb9gv; 0.38
seg 27 fev 2023 11:05:19 -03; Group 1; vote-79787c6c8b-kb9gv; 1.12
seg 27 fev 2023 11:05:20 -03; Group 1; vote-79787c6c8b-kb9gv; 0.54
seg 27 fev 2023 11:05:21 -03; Group 1; vote-79787c6c8b-kb9gv; 0.39
seg 27 fev 2023 11:05:22 -03; Group 1; vote-79787c6c8b-kb9gv; 0.38
seg 27 fev 2023 11:05:22 -03; Group 1; vote-79787c6c8b-kb9gv; 0.37
seg 27 fev 2023 11:05:23 -03; Group 1; vote-79787c6c8b-kb9gv; 0.37
seg 27 fev 2023 11:05:24 -03; Group 1; vote-79787c6c8b-kb9gv; 0.38
seg 27 fev 2023 11:05:25 -03; Group 1; vote-79787c6c8b-kb9gv; 0.38
seg 27 fev 2023 11:05:25 -03; Group 1; vote-79787c6c8b-kb9gv; 0.39
seg 27 fev 2023 11:05:26 -03; Group 1; vote-79787c6c8b-kb9gv; 0.38
seg 27 fev 2023 11:05:27 -03; Group 1; vote-79787c6c8b-kb9gv; 0.36
seg 27 fev 2023 11:05:28 -03; Group 1; vote-79787c6c8b-kb9gv; 0.36
seg 27 fev 2023 11:05:28 -03; Group 1; vote-79787c6c8b-kb9gv; 0.37
seg 27 fev 2023 11:05:30 -03; Group 1; vote-79787c6c8b-kb9gv; 0.76
seg 27 fev 2023 11:05:31 -03; Group 1; vote-79787c6c8b-kb9gv; 0.36
seg 27 fev 2023 11:05:31 -03; Group 1; vote-79787c6c8b-kb9gv; 0.37
seg 27 fev 2023 11:05:32 -03; Group 1; vote-79787c6c8b-kb9gv; 0.35
