Data,Group,Nome_POD,CURL
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.319
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.314
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.297
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.266
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.301
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.292
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.314
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.434
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.292
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.287
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.440
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.280
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.297
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.280
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.290
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.301
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.288
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.265
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.298
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.292
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.285
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.291
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.307
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.296
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.303
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.307
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.275
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.277
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.314
27-02-2023,Group 1,db-684b9b49fd-bnrfq,00.310
27-02-2023,Group 1,redis-67db9bd79b-6v9ng,00.33
27-02-2023,Group 1,redis-67db9bd79b-6v9ng,00.31
27-02-2023,Group 1,redis-67db9bd79b-6v9ng,00.31
27-02-2023,Group 1,redis-67db9bd79b-6v9ng,00.30
27-02-2023,Group 1,redis-67db9bd79b-6v9ng,00.53
27-02-2023,Group 1,redis-67db9bd79b-6v9ng,00.31
27-02-2023,Group 1,redis-67db9bd79b-6v9ng,00.29
27-02-2023,Group 1,redis-67db9bd79b-6v9ng,00.27
27-02-2023,Group 1,redis-67db9bd79b-6v9ng,00.28
27-02-2023,Group 1,redis-67db9bd79b-6v9ng,00.32
27-02-2023,Group 1,redis-67db9bd79b-6v9ng,00.32
27-02-2023,Group 1,redis-67db9bd79b-6v9ng,00.36
27-02-2023,Group 1,redis-67db9bd79b-6v9ng,00.32
27-02-2023,Group 1,redis-67db9bd79b-6v9ng,00.32
27-02-2023,Group 1,redis-67db9bd79b-6v9ng,00.34
27-02-2023,Group 1,redis-67db9bd79b-6v9ng,00.30
27-02-2023,Group 1,redis-67db9bd79b-6v9ng,00.34
27-02-2023,Group 1,redis-67db9bd79b-6v9ng,00.32
