Data; Group; Nome_POD; CURL
seg 27 fev 2023 06:11:58 -03; Group 1; vote-79787c6c8b-kb9gv; 00.26
seg 27 fev 2023 06:11:59 -03; Group 1; vote-79787c6c8b-kb9gv; 00.27
seg 27 fev 2023 06:12:00 -03; Group 1; vote-79787c6c8b-kb9gv; 00.25
seg 27 fev 2023 06:12:01 -03; Group 1; vote-79787c6c8b-kb9gv; 00.27
seg 27 fev 2023 06:12:01 -03; Group 1; vote-79787c6c8b-kb9gv; 00.29
seg 27 fev 2023 06:12:02 -03; Group 1; vote-79787c6c8b-kb9gv; 00.26
seg 27 fev 2023 06:12:03 -03; Group 1; vote-79787c6c8b-kb9gv; 00.27
seg 27 fev 2023 06:12:03 -03; Group 1; vote-79787c6c8b-kb9gv; 00.26
seg 27 fev 2023 06:12:04 -03; Group 1; vote-79787c6c8b-kb9gv; 00.25
seg 27 fev 2023 06:12:04 -03; Group 1; vote-79787c6c8b-kb9gv; 00.26
seg 27 fev 2023 06:12:05 -03; Group 1; vote-79787c6c8b-kb9gv; 00.27
seg 27 fev 2023 06:12:06 -03; Group 1; vote-79787c6c8b-kb9gv; 00.31
seg 27 fev 2023 06:12:06 -03; Group 1; vote-79787c6c8b-kb9gv; 00.25
seg 27 fev 2023 06:12:07 -03; Group 1; vote-79787c6c8b-kb9gv; 00.28
seg 27 fev 2023 06:12:08 -03; Group 1; vote-79787c6c8b-kb9gv; 00.23
seg 27 fev 2023 06:12:08 -03; Group 1; vote-79787c6c8b-kb9gv; 00.27
seg 27 fev 2023 06:12:09 -03; Group 1; vote-79787c6c8b-kb9gv; 00.26
seg 27 fev 2023 06:12:10 -03; Group 1; vote-79787c6c8b-kb9gv; 00.25
seg 27 fev 2023 06:12:10 -03; Group 1; vote-79787c6c8b-kb9gv; 00.25
seg 27 fev 2023 06:12:11 -03; Group 1; vote-79787c6c8b-kb9gv; 00.23
seg 27 fev 2023 06:12:12 -03; Group 1; vote-79787c6c8b-kb9gv; 00.29
seg 27 fev 2023 06:12:12 -03; Group 1; vote-79787c6c8b-kb9gv; 00.25
seg 27 fev 2023 06:12:13 -03; Group 1; vote-79787c6c8b-kb9gv; 00.26
seg 27 fev 2023 06:12:14 -03; Group 1; vote-79787c6c8b-kb9gv; 00.27
seg 27 fev 2023 06:12:14 -03; Group 1; vote-79787c6c8b-kb9gv; 00.27
seg 27 fev 2023 06:12:15 -03; Group 1; vote-79787c6c8b-kb9gv; 00.27
seg 27 fev 2023 06:12:16 -03; Group 1; vote-79787c6c8b-kb9gv; 00.25
seg 27 fev 2023 06:12:16 -03; Group 1; vote-79787c6c8b-kb9gv; 00.27
seg 27 fev 2023 06:12:17 -03; Group 1; vote-79787c6c8b-kb9gv; 00.27
seg 27 fev 2023 06:12:18 -03; Group 1; vote-79787c6c8b-kb9gv; 00.26
