Data; Group; Nome_POD; WGET
seg 27 fev 2023 06:13:05 -03; Group 1; redis-67db9bd79b-6v9ng; 00.33
seg 27 fev 2023 06:13:05 -03; Group 1; redis-67db9bd79b-6v9ng; 00.30
seg 27 fev 2023 06:13:06 -03; Group 1; redis-67db9bd79b-6v9ng; 00.33
seg 27 fev 2023 06:13:07 -03; Group 1; redis-67db9bd79b-6v9ng; 00.31
seg 27 fev 2023 06:13:08 -03; Group 1; redis-67db9bd79b-6v9ng; 00.33
seg 27 fev 2023 06:13:08 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
seg 27 fev 2023 06:13:09 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
seg 27 fev 2023 06:13:10 -03; Group 1; redis-67db9bd79b-6v9ng; 00.31
seg 27 fev 2023 06:13:11 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
seg 27 fev 2023 06:13:11 -03; Group 1; redis-67db9bd79b-6v9ng; 00.31
seg 27 fev 2023 06:13:12 -03; Group 1; redis-67db9bd79b-6v9ng; 00.30
seg 27 fev 2023 06:13:13 -03; Group 1; redis-67db9bd79b-6v9ng; 00.31
seg 27 fev 2023 06:13:13 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
seg 27 fev 2023 06:13:14 -03; Group 1; redis-67db9bd79b-6v9ng; 00.34
seg 27 fev 2023 06:13:15 -03; Group 1; redis-67db9bd79b-6v9ng; 00.29
seg 27 fev 2023 06:13:16 -03; Group 1; redis-67db9bd79b-6v9ng; 00.33
seg 27 fev 2023 06:13:16 -03; Group 1; redis-67db9bd79b-6v9ng; 00.29
seg 27 fev 2023 06:13:17 -03; Group 1; redis-67db9bd79b-6v9ng; 00.35
seg 27 fev 2023 06:13:18 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
seg 27 fev 2023 06:13:18 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
seg 27 fev 2023 06:13:19 -03; Group 1; redis-67db9bd79b-6v9ng; 00.30
seg 27 fev 2023 06:13:20 -03; Group 1; redis-67db9bd79b-6v9ng; 00.34
seg 27 fev 2023 06:13:21 -03; Group 1; redis-67db9bd79b-6v9ng; 00.38
seg 27 fev 2023 06:13:21 -03; Group 1; redis-67db9bd79b-6v9ng; 00.31
seg 27 fev 2023 06:13:22 -03; Group 1; redis-67db9bd79b-6v9ng; 00.34
seg 27 fev 2023 06:13:23 -03; Group 1; redis-67db9bd79b-6v9ng; 00.35
seg 27 fev 2023 06:13:23 -03; Group 1; redis-67db9bd79b-6v9ng; 00.30
seg 27 fev 2023 06:13:24 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
seg 27 fev 2023 06:13:25 -03; Group 1; redis-67db9bd79b-6v9ng; 00.31
seg 27 fev 2023 06:13:25 -03; Group 1; redis-67db9bd79b-6v9ng; 00.29
