Data; Group; Nome_POD; WGET
seg 27 fev 2023 06:13:26 -03; Group 1; result-77f68799c4-kbc42; 00.306
seg 27 fev 2023 06:13:27 -03; Group 1; result-77f68799c4-kbc42; 00.300
seg 27 fev 2023 06:13:27 -03; Group 1; result-77f68799c4-kbc42; 00.278
seg 27 fev 2023 06:13:28 -03; Group 1; result-77f68799c4-kbc42; 00.277
seg 27 fev 2023 06:13:29 -03; Group 1; result-77f68799c4-kbc42; 00.311
seg 27 fev 2023 06:13:29 -03; Group 1; result-77f68799c4-kbc42; 00.302
seg 27 fev 2023 06:13:30 -03; Group 1; result-77f68799c4-kbc42; 00.313
seg 27 fev 2023 06:13:31 -03; Group 1; result-77f68799c4-kbc42; 00.279
seg 27 fev 2023 06:13:32 -03; Group 1; result-77f68799c4-kbc42; 00.293
seg 27 fev 2023 06:13:32 -03; Group 1; result-77f68799c4-kbc42; 00.275
seg 27 fev 2023 06:13:33 -03; Group 1; result-77f68799c4-kbc42; 00.300
seg 27 fev 2023 06:13:34 -03; Group 1; result-77f68799c4-kbc42; 00.276
seg 27 fev 2023 06:13:34 -03; Group 1; result-77f68799c4-kbc42; 00.287
seg 27 fev 2023 06:13:35 -03; Group 1; result-77f68799c4-kbc42; 00.289
seg 27 fev 2023 06:13:35 -03; Group 1; result-77f68799c4-kbc42; 00.294
seg 27 fev 2023 06:13:36 -03; Group 1; result-77f68799c4-kbc42; 00.304
seg 27 fev 2023 06:13:37 -03; Group 1; result-77f68799c4-kbc42; 00.306
seg 27 fev 2023 06:13:38 -03; Group 1; result-77f68799c4-kbc42; 00.300
seg 27 fev 2023 06:13:38 -03; Group 1; result-77f68799c4-kbc42; 00.301
seg 27 fev 2023 06:13:39 -03; Group 1; result-77f68799c4-kbc42; 00.294
seg 27 fev 2023 06:13:40 -03; Group 1; result-77f68799c4-kbc42; 00.301
seg 27 fev 2023 06:13:40 -03; Group 1; result-77f68799c4-kbc42; 00.370
seg 27 fev 2023 06:13:41 -03; Group 1; result-77f68799c4-kbc42; 00.300
seg 27 fev 2023 06:13:42 -03; Group 1; result-77f68799c4-kbc42; 00.276
seg 27 fev 2023 06:13:42 -03; Group 1; result-77f68799c4-kbc42; 00.283
seg 27 fev 2023 06:13:43 -03; Group 1; result-77f68799c4-kbc42; 00.292
seg 27 fev 2023 06:13:44 -03; Group 1; result-77f68799c4-kbc42; 00.293
seg 27 fev 2023 06:13:44 -03; Group 1; result-77f68799c4-kbc42; 00.288
seg 27 fev 2023 06:13:45 -03; Group 1; result-77f68799c4-kbc42; 00.255
seg 27 fev 2023 06:13:46 -03; Group 1; result-77f68799c4-kbc42; 00.275
