Data; Group; Nome_POD; CURL
seg 27 fev 2023 19:58:29 -03; Group 1; db-684b9b49fd-bnrfq; 00.707
seg 27 fev 2023 19:58:29 -03; Group 1; db-684b9b49fd-bnrfq; 00.316
seg 27 fev 2023 19:58:31 -03; Group 1; db-684b9b49fd-bnrfq; 00.660
seg 27 fev 2023 19:58:32 -03; Group 1; db-684b9b49fd-bnrfq; 00.657
seg 27 fev 2023 19:58:33 -03; Group 1; db-684b9b49fd-bnrfq; 00.661
seg 27 fev 2023 19:58:34 -03; Group 1; db-684b9b49fd-bnrfq; 00.655
seg 27 fev 2023 19:58:35 -03; Group 1; db-684b9b49fd-bnrfq; 00.627
seg 27 fev 2023 19:58:35 -03; Group 1; db-684b9b49fd-bnrfq; 00.316
seg 27 fev 2023 19:58:36 -03; Group 1; db-684b9b49fd-bnrfq; 00.332
seg 27 fev 2023 19:58:37 -03; Group 1; db-684b9b49fd-bnrfq; 00.652
seg 27 fev 2023 19:58:39 -03; Group 1; db-684b9b49fd-bnrfq; 01.558
seg 27 fev 2023 19:58:40 -03; Group 1; db-684b9b49fd-bnrfq; 00.339
seg 27 fev 2023 19:58:41 -03; Group 1; db-684b9b49fd-bnrfq; 00.654
seg 27 fev 2023 19:58:42 -03; Group 1; db-684b9b49fd-bnrfq; 00.324
seg 27 fev 2023 19:58:43 -03; Group 1; db-684b9b49fd-bnrfq; 00.334
seg 27 fev 2023 19:58:43 -03; Group 1; db-684b9b49fd-bnrfq; 00.303
seg 27 fev 2023 19:58:44 -03; Group 1; db-684b9b49fd-bnrfq; 00.633
seg 27 fev 2023 19:58:45 -03; Group 1; db-684b9b49fd-bnrfq; 00.664
seg 27 fev 2023 19:58:46 -03; Group 1; db-684b9b49fd-bnrfq; 00.291
seg 27 fev 2023 19:58:47 -03; Group 1; db-684b9b49fd-bnrfq; 00.637
seg 27 fev 2023 19:58:48 -03; Group 1; db-684b9b49fd-bnrfq; 00.653
seg 27 fev 2023 19:58:49 -03; Group 1; db-684b9b49fd-bnrfq; 00.302
seg 27 fev 2023 19:58:50 -03; Group 1; db-684b9b49fd-bnrfq; 01.031
seg 27 fev 2023 19:58:51 -03; Group 1; db-684b9b49fd-bnrfq; 00.649
seg 27 fev 2023 19:58:52 -03; Group 1; db-684b9b49fd-bnrfq; 00.306
seg 27 fev 2023 19:58:53 -03; Group 1; db-684b9b49fd-bnrfq; 00.283
seg 27 fev 2023 19:58:53 -03; Group 1; db-684b9b49fd-bnrfq; 00.303
seg 27 fev 2023 19:58:54 -03; Group 1; db-684b9b49fd-bnrfq; 00.396
seg 27 fev 2023 19:58:55 -03; Group 1; db-684b9b49fd-bnrfq; 00.266
seg 27 fev 2023 19:58:55 -03; Group 1; db-684b9b49fd-bnrfq; 00.317
