Data; Group; Nome_POD; APT
ter 21 fev 2023 17:49:25 -03; Group 1; db-684b9b49fd-fl2xm; 01.855
ter 21 fev 2023 17:49:27 -03; Group 1; db-684b9b49fd-fl2xm; 01.775
ter 21 fev 2023 17:49:28 -03; Group 1; db-684b9b49fd-fl2xm; 01.350
ter 21 fev 2023 17:49:30 -03; Group 1; db-684b9b49fd-fl2xm; 01.412
ter 21 fev 2023 17:49:32 -03; Group 1; db-684b9b49fd-fl2xm; 01.487
ter 21 fev 2023 17:49:34 -03; Group 1; db-684b9b49fd-fl2xm; 01.524
ter 21 fev 2023 17:49:36 -03; Group 1; db-684b9b49fd-fl2xm; 01.418
ter 21 fev 2023 17:49:38 -03; Group 1; db-684b9b49fd-fl2xm; 01.573
ter 21 fev 2023 17:49:40 -03; Group 1; db-684b9b49fd-fl2xm; 01.568
ter 21 fev 2023 17:49:42 -03; Group 1; db-684b9b49fd-fl2xm; 01.616
ter 21 fev 2023 17:49:44 -03; Group 1; db-684b9b49fd-fl2xm; 01.415
ter 21 fev 2023 17:49:46 -03; Group 1; db-684b9b49fd-fl2xm; 01.609
ter 21 fev 2023 17:49:48 -03; Group 1; db-684b9b49fd-fl2xm; 01.531
ter 21 fev 2023 17:49:49 -03; Group 1; db-684b9b49fd-fl2xm; 01.445
ter 21 fev 2023 17:49:51 -03; Group 1; db-684b9b49fd-fl2xm; 01.425
ter 21 fev 2023 17:49:53 -03; Group 1; db-684b9b49fd-fl2xm; 01.586
ter 21 fev 2023 17:49:55 -03; Group 1; db-684b9b49fd-fl2xm; 01.399
ter 21 fev 2023 17:49:57 -03; Group 1; db-684b9b49fd-fl2xm; 01.575
ter 21 fev 2023 17:49:59 -03; Group 1; db-684b9b49fd-fl2xm; 01.519
ter 21 fev 2023 17:50:01 -03; Group 1; db-684b9b49fd-fl2xm; 01.601
ter 21 fev 2023 17:50:03 -03; Group 1; db-684b9b49fd-fl2xm; 01.435
ter 21 fev 2023 17:50:05 -03; Group 1; db-684b9b49fd-fl2xm; 01.593
ter 21 fev 2023 17:50:07 -03; Group 1; db-684b9b49fd-fl2xm; 01.590
ter 21 fev 2023 17:50:09 -03; Group 1; db-684b9b49fd-fl2xm; 01.633
ter 21 fev 2023 17:50:11 -03; Group 1; db-684b9b49fd-fl2xm; 01.562
ter 21 fev 2023 17:50:13 -03; Group 1; db-684b9b49fd-fl2xm; 01.455
ter 21 fev 2023 17:50:15 -03; Group 1; db-684b9b49fd-fl2xm; 01.474
ter 21 fev 2023 17:50:17 -03; Group 1; db-684b9b49fd-fl2xm; 01.733
ter 21 fev 2023 17:50:19 -03; Group 1; db-684b9b49fd-fl2xm; 01.507
ter 21 fev 2023 17:50:21 -03; Group 1; db-684b9b49fd-fl2xm; 01.610
