Data; Group; Nome_POD; PING
ter 28 fev 2023 00:52:44 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.00
ter 28 fev 2023 00:52:51 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.00
ter 28 fev 2023 00:52:59 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:53:06 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:53:13 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:53:21 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:53:28 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:53:36 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.00
ter 28 fev 2023 00:53:43 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:53:50 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:53:58 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:54:05 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:54:13 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:54:20 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:54:28 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:54:35 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:54:42 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.00
ter 28 fev 2023 00:54:50 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.00
ter 28 fev 2023 00:54:57 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:55:05 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.00
ter 28 fev 2023 00:55:12 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:55:20 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.00
ter 28 fev 2023 00:55:27 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:55:35 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:55:42 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:55:49 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.00
ter 28 fev 2023 00:55:57 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:56:04 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:56:12 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
ter 28 fev 2023 00:56:19 -03; Group 1; worker-78b9ff59fc-7gcc6; 007.01
