Data; Group; Nome_POD; WGET
ter 28 fev 2023 00:24:47 -03; Group 1; db-684b9b49fd-bnrfq; 00.291
ter 28 fev 2023 00:24:48 -03; Group 1; db-684b9b49fd-bnrfq; 00.309
ter 28 fev 2023 00:24:48 -03; Group 1; db-684b9b49fd-bnrfq; 00.283
ter 28 fev 2023 00:24:49 -03; Group 1; db-684b9b49fd-bnrfq; 00.289
ter 28 fev 2023 00:24:50 -03; Group 1; db-684b9b49fd-bnrfq; 00.284
ter 28 fev 2023 00:24:51 -03; Group 1; db-684b9b49fd-bnrfq; 00.279
ter 28 fev 2023 00:24:51 -03; Group 1; db-684b9b49fd-bnrfq; 00.284
ter 28 fev 2023 00:24:52 -03; Group 1; db-684b9b49fd-bnrfq; 00.281
ter 28 fev 2023 00:24:53 -03; Group 1; db-684b9b49fd-bnrfq; 00.305
ter 28 fev 2023 00:24:53 -03; Group 1; db-684b9b49fd-bnrfq; 00.299
ter 28 fev 2023 00:24:54 -03; Group 1; db-684b9b49fd-bnrfq; 00.313
ter 28 fev 2023 00:24:55 -03; Group 1; db-684b9b49fd-bnrfq; 00.288
ter 28 fev 2023 00:24:56 -03; Group 1; db-684b9b49fd-bnrfq; 00.519
ter 28 fev 2023 00:24:56 -03; Group 1; db-684b9b49fd-bnrfq; 00.275
ter 28 fev 2023 00:24:57 -03; Group 1; db-684b9b49fd-bnrfq; 00.277
ter 28 fev 2023 00:24:58 -03; Group 1; db-684b9b49fd-bnrfq; 00.296
ter 28 fev 2023 00:24:58 -03; Group 1; db-684b9b49fd-bnrfq; 00.306
ter 28 fev 2023 00:24:59 -03; Group 1; db-684b9b49fd-bnrfq; 00.286
ter 28 fev 2023 00:25:00 -03; Group 1; db-684b9b49fd-bnrfq; 00.463
ter 28 fev 2023 00:25:01 -03; Group 1; db-684b9b49fd-bnrfq; 00.303
ter 28 fev 2023 00:25:02 -03; Group 1; db-684b9b49fd-bnrfq; 00.540
ter 28 fev 2023 00:25:02 -03; Group 1; db-684b9b49fd-bnrfq; 00.265
ter 28 fev 2023 00:25:03 -03; Group 1; db-684b9b49fd-bnrfq; 00.314
ter 28 fev 2023 00:25:04 -03; Group 1; db-684b9b49fd-bnrfq; 00.326
ter 28 fev 2023 00:25:04 -03; Group 1; db-684b9b49fd-bnrfq; 00.315
ter 28 fev 2023 00:25:05 -03; Group 1; db-684b9b49fd-bnrfq; 00.296
ter 28 fev 2023 00:25:06 -03; Group 1; db-684b9b49fd-bnrfq; 00.286
ter 28 fev 2023 00:25:06 -03; Group 1; db-684b9b49fd-bnrfq; 00.282
ter 28 fev 2023 00:25:07 -03; Group 1; db-684b9b49fd-bnrfq; 00.303
ter 28 fev 2023 00:25:08 -03; Group 1; db-684b9b49fd-bnrfq; 00.266
ter 28 fev 2023 00:25:08 -03; Group 1; redis-67db9bd79b-6v9ng; 00.31
ter 28 fev 2023 00:25:09 -03; Group 1; redis-67db9bd79b-6v9ng; 00.34
ter 28 fev 2023 00:25:10 -03; Group 1; redis-67db9bd79b-6v9ng; 00.40
ter 28 fev 2023 00:25:11 -03; Group 1; redis-67db9bd79b-6v9ng; 00.31
ter 28 fev 2023 00:25:11 -03; Group 1; redis-67db9bd79b-6v9ng; 00.33
ter 28 fev 2023 00:25:12 -03; Group 1; redis-67db9bd79b-6v9ng; 00.35
ter 28 fev 2023 00:25:13 -03; Group 1; redis-67db9bd79b-6v9ng; 00.33
ter 28 fev 2023 00:25:14 -03; Group 1; redis-67db9bd79b-6v9ng; 00.35
ter 28 fev 2023 00:25:14 -03; Group 1; redis-67db9bd79b-6v9ng; 00.31
ter 28 fev 2023 00:25:15 -03; Group 1; redis-67db9bd79b-6v9ng; 00.35
ter 28 fev 2023 00:25:16 -03; Group 1; redis-67db9bd79b-6v9ng; 00.34
ter 28 fev 2023 00:25:17 -03; Group 1; redis-67db9bd79b-6v9ng; 00.34
ter 28 fev 2023 00:25:17 -03; Group 1; redis-67db9bd79b-6v9ng; 00.33
ter 28 fev 2023 00:25:18 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
ter 28 fev 2023 00:25:19 -03; Group 1; redis-67db9bd79b-6v9ng; 00.33
ter 28 fev 2023 00:25:19 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
ter 28 fev 2023 00:25:20 -03; Group 1; redis-67db9bd79b-6v9ng; 00.33
ter 28 fev 2023 00:25:21 -03; Group 1; redis-67db9bd79b-6v9ng; 00.33
ter 28 fev 2023 00:25:21 -03; Group 1; redis-67db9bd79b-6v9ng; 00.34
ter 28 fev 2023 00:25:22 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
ter 28 fev 2023 00:25:23 -03; Group 1; redis-67db9bd79b-6v9ng; 00.30
ter 28 fev 2023 00:25:24 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
ter 28 fev 2023 00:25:24 -03; Group 1; redis-67db9bd79b-6v9ng; 00.34
ter 28 fev 2023 00:25:25 -03; Group 1; redis-67db9bd79b-6v9ng; 00.33
ter 28 fev 2023 00:25:26 -03; Group 1; redis-67db9bd79b-6v9ng; 00.31
ter 28 fev 2023 00:25:26 -03; Group 1; redis-67db9bd79b-6v9ng; 00.33
ter 28 fev 2023 00:25:27 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
ter 28 fev 2023 00:25:28 -03; Group 1; redis-67db9bd79b-6v9ng; 00.35
ter 28 fev 2023 00:25:29 -03; Group 1; redis-67db9bd79b-6v9ng; 00.32
ter 28 fev 2023 00:25:29 -03; Group 1; redis-67db9bd79b-6v9ng; 00.33
ter 28 fev 2023 00:25:30 -03; Group 1; result-77f68799c4-kbc42; 00.308
ter 28 fev 2023 00:25:31 -03; Group 1; result-77f68799c4-kbc42; 00.373
ter 28 fev 2023 00:25:32 -03; Group 1; result-77f68799c4-kbc42; 00.274
ter 28 fev 2023 00:25:32 -03; Group 1; result-77f68799c4-kbc42; 00.321
ter 28 fev 2023 00:25:33 -03; Group 1; result-77f68799c4-kbc42; 00.287
ter 28 fev 2023 00:25:34 -03; Group 1; result-77f68799c4-kbc42; 00.272
ter 28 fev 2023 00:25:34 -03; Group 1; result-77f68799c4-kbc42; 00.298
ter 28 fev 2023 00:25:35 -03; Group 1; result-77f68799c4-kbc42; 00.321
ter 28 fev 2023 00:25:36 -03; Group 1; result-77f68799c4-kbc42; 00.318
ter 28 fev 2023 00:25:36 -03; Group 1; result-77f68799c4-kbc42; 00.318
ter 28 fev 2023 00:25:37 -03; Group 1; result-77f68799c4-kbc42; 00.289
ter 28 fev 2023 00:25:38 -03; Group 1; result-77f68799c4-kbc42; 00.269
ter 28 fev 2023 00:25:38 -03; Group 1; result-77f68799c4-kbc42; 00.302
ter 28 fev 2023 00:25:39 -03; Group 1; result-77f68799c4-kbc42; 00.300
ter 28 fev 2023 00:25:40 -03; Group 1; result-77f68799c4-kbc42; 00.287
ter 28 fev 2023 00:25:41 -03; Group 1; result-77f68799c4-kbc42; 00.298
ter 28 fev 2023 00:25:41 -03; Group 1; result-77f68799c4-kbc42; 00.264
ter 28 fev 2023 00:25:42 -03; Group 1; result-77f68799c4-kbc42; 00.281
ter 28 fev 2023 00:25:43 -03; Group 1; result-77f68799c4-kbc42; 00.288
ter 28 fev 2023 00:25:43 -03; Group 1; result-77f68799c4-kbc42; 00.292
ter 28 fev 2023 00:25:44 -03; Group 1; result-77f68799c4-kbc42; 00.433
ter 28 fev 2023 00:25:45 -03; Group 1; result-77f68799c4-kbc42; 00.306
ter 28 fev 2023 00:25:45 -03; Group 1; result-77f68799c4-kbc42; 00.275
ter 28 fev 2023 00:25:46 -03; Group 1; result-77f68799c4-kbc42; 00.308
ter 28 fev 2023 00:25:47 -03; Group 1; result-77f68799c4-kbc42; 00.293
ter 28 fev 2023 00:25:47 -03; Group 1; result-77f68799c4-kbc42; 00.278
ter 28 fev 2023 00:25:48 -03; Group 1; result-77f68799c4-kbc42; 00.309
ter 28 fev 2023 00:25:49 -03; Group 1; result-77f68799c4-kbc42; 00.279
ter 28 fev 2023 00:25:50 -03; Group 1; result-77f68799c4-kbc42; 00.302
ter 28 fev 2023 00:25:50 -03; Group 1; result-77f68799c4-kbc42; 00.318
ter 28 fev 2023 00:25:51 -03; Group 1; vote-79787c6c8b-kb9gv; 00.30
ter 28 fev 2023 00:25:52 -03; Group 1; vote-79787c6c8b-kb9gv; 00.29
ter 28 fev 2023 00:25:52 -03; Group 1; vote-79787c6c8b-kb9gv; 00.28
ter 28 fev 2023 00:25:53 -03; Group 1; vote-79787c6c8b-kb9gv; 00.29
ter 28 fev 2023 00:25:54 -03; Group 1; vote-79787c6c8b-kb9gv; 00.29
ter 28 fev 2023 00:25:54 -03; Group 1; vote-79787c6c8b-kb9gv; 00.27
ter 28 fev 2023 00:25:55 -03; Group 1; vote-79787c6c8b-kb9gv; 00.27
ter 28 fev 2023 00:25:56 -03; Group 1; vote-79787c6c8b-kb9gv; 00.32
ter 28 fev 2023 00:25:56 -03; Group 1; vote-79787c6c8b-kb9gv; 00.29
ter 28 fev 2023 00:25:57 -03; Group 1; vote-79787c6c8b-kb9gv; 00.29
ter 28 fev 2023 00:25:58 -03; Group 1; vote-79787c6c8b-kb9gv; 00.29
ter 28 fev 2023 00:25:58 -03; Group 1; vote-79787c6c8b-kb9gv; 00.28
ter 28 fev 2023 00:25:59 -03; Group 1; vote-79787c6c8b-kb9gv; 00.27
ter 28 fev 2023 00:26:00 -03; Group 1; vote-79787c6c8b-kb9gv; 00.28
ter 28 fev 2023 00:26:01 -03; Group 1; vote-79787c6c8b-kb9gv; 00.31
ter 28 fev 2023 00:26:01 -03; Group 1; vote-79787c6c8b-kb9gv; 00.32
ter 28 fev 2023 00:26:02 -03; Group 1; vote-79787c6c8b-kb9gv; 00.30
ter 28 fev 2023 00:26:03 -03; Group 1; vote-79787c6c8b-kb9gv; 00.26
ter 28 fev 2023 00:26:03 -03; Group 1; vote-79787c6c8b-kb9gv; 00.29
ter 28 fev 2023 00:26:04 -03; Group 1; vote-79787c6c8b-kb9gv; 00.27
ter 28 fev 2023 00:26:05 -03; Group 1; vote-79787c6c8b-kb9gv; 00.30
ter 28 fev 2023 00:26:05 -03; Group 1; vote-79787c6c8b-kb9gv; 00.33
ter 28 fev 2023 00:26:06 -03; Group 1; vote-79787c6c8b-kb9gv; 00.28
