Data; Group; Nome_POD; APT
ter 28 fev 2023 18:32:47 -03; Group 1; redis-67db9bd79b-cp5zn; 0.75
ter 28 fev 2023 18:32:48 -03; Group 1; redis-67db9bd79b-cp5zn; 0.71
ter 28 fev 2023 18:32:49 -03; Group 1; redis-67db9bd79b-cp5zn; 0.74
ter 28 fev 2023 18:32:50 -03; Group 1; redis-67db9bd79b-cp5zn; 0.70
ter 28 fev 2023 18:32:51 -03; Group 1; redis-67db9bd79b-cp5zn; 0.73
ter 28 fev 2023 18:32:52 -03; Group 1; redis-67db9bd79b-cp5zn; 0.73
ter 28 fev 2023 18:32:54 -03; Group 1; redis-67db9bd79b-cp5zn; 0.75
ter 28 fev 2023 18:32:55 -03; Group 1; redis-67db9bd79b-cp5zn; 1.42
ter 28 fev 2023 18:32:57 -03; Group 1; redis-67db9bd79b-cp5zn; 0.77
ter 28 fev 2023 18:32:58 -03; Group 1; redis-67db9bd79b-cp5zn; 0.74
ter 28 fev 2023 18:32:59 -03; Group 1; redis-67db9bd79b-cp5zn; 0.78
ter 28 fev 2023 18:33:00 -03; Group 1; redis-67db9bd79b-cp5zn; 0.72
ter 28 fev 2023 18:33:01 -03; Group 1; redis-67db9bd79b-cp5zn; 0.75
ter 28 fev 2023 18:33:02 -03; Group 1; redis-67db9bd79b-cp5zn; 0.77
ter 28 fev 2023 18:33:03 -03; Group 1; redis-67db9bd79b-cp5zn; 0.78
ter 28 fev 2023 18:33:05 -03; Group 1; redis-67db9bd79b-cp5zn; 0.74
ter 28 fev 2023 18:33:06 -03; Group 1; redis-67db9bd79b-cp5zn; 1.10
ter 28 fev 2023 18:33:07 -03; Group 1; redis-67db9bd79b-cp5zn; 0.74
ter 28 fev 2023 18:33:09 -03; Group 1; redis-67db9bd79b-cp5zn; 0.72
ter 28 fev 2023 18:33:10 -03; Group 1; redis-67db9bd79b-cp5zn; 0.74
ter 28 fev 2023 18:33:11 -03; Group 1; redis-67db9bd79b-cp5zn; 0.73
ter 28 fev 2023 18:33:12 -03; Group 1; redis-67db9bd79b-cp5zn; 0.72
ter 28 fev 2023 18:33:13 -03; Group 1; redis-67db9bd79b-cp5zn; 0.74
ter 28 fev 2023 18:33:14 -03; Group 1; redis-67db9bd79b-cp5zn; 0.75
ter 28 fev 2023 18:33:16 -03; Group 1; redis-67db9bd79b-cp5zn; 0.81
ter 28 fev 2023 18:33:17 -03; Group 1; redis-67db9bd79b-cp5zn; 1.07
ter 28 fev 2023 18:33:18 -03; Group 1; redis-67db9bd79b-cp5zn; 0.72
ter 28 fev 2023 18:33:19 -03; Group 1; redis-67db9bd79b-cp5zn; 0.75
ter 28 fev 2023 18:33:20 -03; Group 1; redis-67db9bd79b-cp5zn; 0.74
ter 28 fev 2023 18:33:22 -03; Group 1; redis-67db9bd79b-cp5zn; 0.74
