Data; Group; Nome_POD; CURL
ter 28 fev 2023 19:23:26 -03; Group 1; db-684b9b49fd-whqgb; 00.332
ter 28 fev 2023 19:23:27 -03; Group 1; db-684b9b49fd-whqgb; 00.310
ter 28 fev 2023 19:23:27 -03; Group 1; db-684b9b49fd-whqgb; 00.302
ter 28 fev 2023 19:23:28 -03; Group 1; db-684b9b49fd-whqgb; 00.304
ter 28 fev 2023 19:23:29 -03; Group 1; db-684b9b49fd-whqgb; 00.290
ter 28 fev 2023 19:23:29 -03; Group 1; db-684b9b49fd-whqgb; 00.315
ter 28 fev 2023 19:23:30 -03; Group 1; db-684b9b49fd-whqgb; 00.318
ter 28 fev 2023 19:23:31 -03; Group 1; db-684b9b49fd-whqgb; 00.288
ter 28 fev 2023 19:23:32 -03; Group 1; db-684b9b49fd-whqgb; 00.297
ter 28 fev 2023 19:23:32 -03; Group 1; db-684b9b49fd-whqgb; 00.292
ter 28 fev 2023 19:23:33 -03; Group 1; db-684b9b49fd-whqgb; 00.305
ter 28 fev 2023 19:23:34 -03; Group 1; db-684b9b49fd-whqgb; 00.334
ter 28 fev 2023 19:23:34 -03; Group 1; db-684b9b49fd-whqgb; 00.313
ter 28 fev 2023 19:23:35 -03; Group 1; db-684b9b49fd-whqgb; 00.302
ter 28 fev 2023 19:23:36 -03; Group 1; db-684b9b49fd-whqgb; 00.303
ter 28 fev 2023 19:23:37 -03; Group 1; db-684b9b49fd-whqgb; 00.343
ter 28 fev 2023 19:23:37 -03; Group 1; db-684b9b49fd-whqgb; 00.314
ter 28 fev 2023 19:23:38 -03; Group 1; db-684b9b49fd-whqgb; 00.290
ter 28 fev 2023 19:23:39 -03; Group 1; db-684b9b49fd-whqgb; 00.285
ter 28 fev 2023 19:23:39 -03; Group 1; db-684b9b49fd-whqgb; 00.304
ter 28 fev 2023 19:23:40 -03; Group 1; db-684b9b49fd-whqgb; 00.315
ter 28 fev 2023 19:23:41 -03; Group 1; db-684b9b49fd-whqgb; 00.299
ter 28 fev 2023 19:23:41 -03; Group 1; db-684b9b49fd-whqgb; 00.288
ter 28 fev 2023 19:23:42 -03; Group 1; db-684b9b49fd-whqgb; 00.313
ter 28 fev 2023 19:23:43 -03; Group 1; db-684b9b49fd-whqgb; 00.285
ter 28 fev 2023 19:23:44 -03; Group 1; db-684b9b49fd-whqgb; 00.313
ter 28 fev 2023 19:23:44 -03; Group 1; db-684b9b49fd-whqgb; 00.301
ter 28 fev 2023 19:23:45 -03; Group 1; db-684b9b49fd-whqgb; 00.305
ter 28 fev 2023 19:23:46 -03; Group 1; db-684b9b49fd-whqgb; 00.297
ter 28 fev 2023 19:23:46 -03; Group 1; db-684b9b49fd-whqgb; 00.274
