Data; Group; Nome_POD; CURL
ter 21 fev 2023 16:32:57 -03; Group 1; redis-67db9bd79b-cr2zl; 00.31
ter 21 fev 2023 16:32:58 -03; Group 1; redis-67db9bd79b-cr2zl; 00.33
ter 21 fev 2023 16:32:59 -03; Group 1; redis-67db9bd79b-cr2zl; 00.29
ter 21 fev 2023 16:32:59 -03; Group 1; redis-67db9bd79b-cr2zl; 00.33
ter 21 fev 2023 16:33:00 -03; Group 1; redis-67db9bd79b-cr2zl; 00.30
ter 21 fev 2023 16:33:01 -03; Group 1; redis-67db9bd79b-cr2zl; 00.29
ter 21 fev 2023 16:33:01 -03; Group 1; redis-67db9bd79b-cr2zl; 00.30
ter 21 fev 2023 16:33:02 -03; Group 1; redis-67db9bd79b-cr2zl; 00.31
ter 21 fev 2023 16:33:03 -03; Group 1; redis-67db9bd79b-cr2zl; 00.31
ter 21 fev 2023 16:33:03 -03; Group 1; redis-67db9bd79b-cr2zl; 00.32
ter 21 fev 2023 16:33:04 -03; Group 1; redis-67db9bd79b-cr2zl; 00.32
ter 21 fev 2023 16:33:05 -03; Group 1; redis-67db9bd79b-cr2zl; 00.30
ter 21 fev 2023 16:33:06 -03; Group 1; redis-67db9bd79b-cr2zl; 00.32
ter 21 fev 2023 16:33:06 -03; Group 1; redis-67db9bd79b-cr2zl; 00.33
ter 21 fev 2023 16:33:07 -03; Group 1; redis-67db9bd79b-cr2zl; 00.33
ter 21 fev 2023 16:33:08 -03; Group 1; redis-67db9bd79b-cr2zl; 00.30
ter 21 fev 2023 16:33:09 -03; Group 1; redis-67db9bd79b-cr2zl; 00.32
ter 21 fev 2023 16:33:09 -03; Group 1; redis-67db9bd79b-cr2zl; 00.28
ter 21 fev 2023 16:33:10 -03; Group 1; redis-67db9bd79b-cr2zl; 00.31
ter 21 fev 2023 16:33:11 -03; Group 1; redis-67db9bd79b-cr2zl; 00.33
ter 21 fev 2023 16:33:11 -03; Group 1; redis-67db9bd79b-cr2zl; 00.32
ter 21 fev 2023 16:33:12 -03; Group 1; redis-67db9bd79b-cr2zl; 00.33
ter 21 fev 2023 16:33:13 -03; Group 1; redis-67db9bd79b-cr2zl; 00.30
ter 21 fev 2023 16:33:13 -03; Group 1; redis-67db9bd79b-cr2zl; 00.33
ter 21 fev 2023 16:33:14 -03; Group 1; redis-67db9bd79b-cr2zl; 00.31
ter 21 fev 2023 16:33:15 -03; Group 1; redis-67db9bd79b-cr2zl; 00.30
ter 21 fev 2023 16:33:16 -03; Group 1; redis-67db9bd79b-cr2zl; 00.30
ter 21 fev 2023 16:33:16 -03; Group 1; redis-67db9bd79b-cr2zl; 00.29
ter 21 fev 2023 16:33:17 -03; Group 1; redis-67db9bd79b-cr2zl; 00.34
ter 21 fev 2023 16:33:18 -03; Group 1; redis-67db9bd79b-cr2zl; 00.31
