Data; Group; Nome_POD; CURL
ter 21 fev 2023 16:33:40 -03; Group 1; vote-79787c6c8b-5fj8v; 00.29
ter 21 fev 2023 16:33:40 -03; Group 1; vote-79787c6c8b-5fj8v; 00.28
ter 21 fev 2023 16:33:41 -03; Group 1; vote-79787c6c8b-5fj8v; 00.26
ter 21 fev 2023 16:33:42 -03; Group 1; vote-79787c6c8b-5fj8v; 00.26
ter 21 fev 2023 16:33:42 -03; Group 1; vote-79787c6c8b-5fj8v; 00.26
ter 21 fev 2023 16:33:43 -03; Group 1; vote-79787c6c8b-5fj8v; 00.27
ter 21 fev 2023 16:33:44 -03; Group 1; vote-79787c6c8b-5fj8v; 00.37
ter 21 fev 2023 16:33:44 -03; Group 1; vote-79787c6c8b-5fj8v; 00.26
ter 21 fev 2023 16:33:45 -03; Group 1; vote-79787c6c8b-5fj8v; 00.28
ter 21 fev 2023 16:33:46 -03; Group 1; vote-79787c6c8b-5fj8v; 00.26
ter 21 fev 2023 16:33:46 -03; Group 1; vote-79787c6c8b-5fj8v; 00.28
ter 21 fev 2023 16:33:47 -03; Group 1; vote-79787c6c8b-5fj8v; 00.26
ter 21 fev 2023 16:33:48 -03; Group 1; vote-79787c6c8b-5fj8v; 00.27
ter 21 fev 2023 16:33:48 -03; Group 1; vote-79787c6c8b-5fj8v; 00.27
ter 21 fev 2023 16:33:49 -03; Group 1; vote-79787c6c8b-5fj8v; 00.26
ter 21 fev 2023 16:33:50 -03; Group 1; vote-79787c6c8b-5fj8v; 00.27
ter 21 fev 2023 16:33:50 -03; Group 1; vote-79787c6c8b-5fj8v; 00.28
ter 21 fev 2023 16:33:51 -03; Group 1; vote-79787c6c8b-5fj8v; 00.28
ter 21 fev 2023 16:33:52 -03; Group 1; vote-79787c6c8b-5fj8v; 00.27
ter 21 fev 2023 16:33:52 -03; Group 1; vote-79787c6c8b-5fj8v; 00.28
ter 21 fev 2023 16:33:53 -03; Group 1; vote-79787c6c8b-5fj8v; 00.27
ter 21 fev 2023 16:33:54 -03; Group 1; vote-79787c6c8b-5fj8v; 00.28
ter 21 fev 2023 16:33:54 -03; Group 1; vote-79787c6c8b-5fj8v; 00.28
ter 21 fev 2023 16:33:55 -03; Group 1; vote-79787c6c8b-5fj8v; 00.27
ter 21 fev 2023 16:33:56 -03; Group 1; vote-79787c6c8b-5fj8v; 00.25
ter 21 fev 2023 16:33:56 -03; Group 1; vote-79787c6c8b-5fj8v; 00.32
ter 21 fev 2023 16:33:57 -03; Group 1; vote-79787c6c8b-5fj8v; 00.28
ter 21 fev 2023 16:33:58 -03; Group 1; vote-79787c6c8b-5fj8v; 00.26
ter 21 fev 2023 16:33:58 -03; Group 1; vote-79787c6c8b-5fj8v; 00.27
ter 21 fev 2023 16:33:59 -03; Group 1; vote-79787c6c8b-5fj8v; 00.25
