Data; Group; Nome_POD; PING
ter 28 fev 2023 18:38:32 -03; Group 1; db-684b9b49fd-whqgb; 007.01
ter 28 fev 2023 18:38:40 -03; Group 1; db-684b9b49fd-whqgb; 007.01
ter 28 fev 2023 18:38:47 -03; Group 1; db-684b9b49fd-whqgb; 007.01
ter 28 fev 2023 18:38:55 -03; Group 1; db-684b9b49fd-whqgb; 007.00
ter 28 fev 2023 18:39:02 -03; Group 1; db-684b9b49fd-whqgb; 007.01
ter 28 fev 2023 18:39:10 -03; Group 1; db-684b9b49fd-whqgb; 007.00
ter 28 fev 2023 18:39:17 -03; Group 1; db-684b9b49fd-whqgb; 007.00
ter 28 fev 2023 18:39:24 -03; Group 1; db-684b9b49fd-whqgb; 007.01
ter 28 fev 2023 18:39:32 -03; Group 1; db-684b9b49fd-whqgb; 007.00
ter 28 fev 2023 18:39:39 -03; Group 1; db-684b9b49fd-whqgb; 007.01
ter 28 fev 2023 18:39:47 -03; Group 1; db-684b9b49fd-whqgb; 007.02
ter 28 fev 2023 18:39:54 -03; Group 1; db-684b9b49fd-whqgb; 007.01
ter 28 fev 2023 18:40:01 -03; Group 1; db-684b9b49fd-whqgb; 007.01
ter 28 fev 2023 18:40:09 -03; Group 1; db-684b9b49fd-whqgb; 007.02
ter 28 fev 2023 18:40:16 -03; Group 1; db-684b9b49fd-whqgb; 007.01
ter 28 fev 2023 18:40:24 -03; Group 1; db-684b9b49fd-whqgb; 007.01
ter 28 fev 2023 18:40:31 -03; Group 1; db-684b9b49fd-whqgb; 007.00
ter 28 fev 2023 18:40:39 -03; Group 1; db-684b9b49fd-whqgb; 007.00
ter 28 fev 2023 18:40:46 -03; Group 1; db-684b9b49fd-whqgb; 007.00
ter 28 fev 2023 18:40:53 -03; Group 1; db-684b9b49fd-whqgb; 007.00
ter 28 fev 2023 18:41:01 -03; Group 1; db-684b9b49fd-whqgb; 007.01
ter 28 fev 2023 18:41:08 -03; Group 1; db-684b9b49fd-whqgb; 007.01
ter 28 fev 2023 18:41:16 -03; Group 1; db-684b9b49fd-whqgb; 007.00
ter 28 fev 2023 18:41:23 -03; Group 1; db-684b9b49fd-whqgb; 007.01
ter 28 fev 2023 18:41:30 -03; Group 1; db-684b9b49fd-whqgb; 007.01
ter 28 fev 2023 18:41:38 -03; Group 1; db-684b9b49fd-whqgb; 007.01
ter 28 fev 2023 18:41:45 -03; Group 1; db-684b9b49fd-whqgb; 007.01
ter 28 fev 2023 18:41:53 -03; Group 1; db-684b9b49fd-whqgb; 007.01
ter 28 fev 2023 18:42:00 -03; Group 1; db-684b9b49fd-whqgb; 007.00
ter 28 fev 2023 18:42:08 -03; Group 1; db-684b9b49fd-whqgb; 007.01
