Data; Group; Nome_POD; PING
ter 28 fev 2023 18:46:02 -03; Group 1; result-77f68799c4-4gzjs; 007.01
ter 28 fev 2023 18:46:10 -03; Group 1; result-77f68799c4-4gzjs; 007.00
ter 28 fev 2023 18:46:17 -03; Group 1; result-77f68799c4-4gzjs; 007.02
ter 28 fev 2023 18:46:25 -03; Group 1; result-77f68799c4-4gzjs; 007.00
ter 28 fev 2023 18:46:32 -03; Group 1; result-77f68799c4-4gzjs; 007.01
ter 28 fev 2023 18:46:40 -03; Group 1; result-77f68799c4-4gzjs; 007.00
ter 28 fev 2023 18:46:47 -03; Group 1; result-77f68799c4-4gzjs; 007.00
ter 28 fev 2023 18:46:54 -03; Group 1; result-77f68799c4-4gzjs; 007.01
ter 28 fev 2023 18:47:02 -03; Group 1; result-77f68799c4-4gzjs; 007.02
ter 28 fev 2023 18:47:09 -03; Group 1; result-77f68799c4-4gzjs; 007.00
ter 28 fev 2023 18:47:17 -03; Group 1; result-77f68799c4-4gzjs; 007.00
ter 28 fev 2023 18:47:24 -03; Group 1; result-77f68799c4-4gzjs; 007.01
ter 28 fev 2023 18:47:32 -03; Group 1; result-77f68799c4-4gzjs; 007.01
ter 28 fev 2023 18:47:39 -03; Group 1; result-77f68799c4-4gzjs; 007.01
ter 28 fev 2023 18:47:46 -03; Group 1; result-77f68799c4-4gzjs; 007.01
ter 28 fev 2023 18:47:54 -03; Group 1; result-77f68799c4-4gzjs; 007.01
ter 28 fev 2023 18:48:01 -03; Group 1; result-77f68799c4-4gzjs; 007.03
ter 28 fev 2023 18:48:09 -03; Group 1; result-77f68799c4-4gzjs; 007.00
ter 28 fev 2023 18:48:16 -03; Group 1; result-77f68799c4-4gzjs; 007.01
ter 28 fev 2023 18:48:24 -03; Group 1; result-77f68799c4-4gzjs; 007.01
ter 28 fev 2023 18:48:31 -03; Group 1; result-77f68799c4-4gzjs; 007.01
ter 28 fev 2023 18:48:38 -03; Group 1; result-77f68799c4-4gzjs; 007.01
ter 28 fev 2023 18:48:46 -03; Group 1; result-77f68799c4-4gzjs; 007.01
ter 28 fev 2023 18:48:53 -03; Group 1; result-77f68799c4-4gzjs; 007.01
ter 28 fev 2023 18:49:01 -03; Group 1; result-77f68799c4-4gzjs; 007.01
ter 28 fev 2023 18:49:08 -03; Group 1; result-77f68799c4-4gzjs; 007.01
ter 28 fev 2023 18:49:16 -03; Group 1; result-77f68799c4-4gzjs; 007.00
ter 28 fev 2023 18:49:23 -03; Group 1; result-77f68799c4-4gzjs; 007.00
ter 28 fev 2023 18:49:30 -03; Group 1; result-77f68799c4-4gzjs; 007.00
ter 28 fev 2023 18:49:38 -03; Group 1; result-77f68799c4-4gzjs; 007.00
