Data; Group; Nome_POD; WGET
ter 28 fev 2023 20:25:38 -03; Group 1; redis-67db9bd79b-cp5zn; 00.74
ter 28 fev 2023 20:25:39 -03; Group 1; redis-67db9bd79b-cp5zn; 00.70
ter 28 fev 2023 20:25:40 -03; Group 1; redis-67db9bd79b-cp5zn; 00.72
ter 28 fev 2023 20:25:41 -03; Group 1; redis-67db9bd79b-cp5zn; 00.67
ter 28 fev 2023 20:25:43 -03; Group 1; redis-67db9bd79b-cp5zn; 00.74
ter 28 fev 2023 20:25:44 -03; Group 1; redis-67db9bd79b-cp5zn; 00.69
ter 28 fev 2023 20:25:45 -03; Group 1; redis-67db9bd79b-cp5zn; 00.72
ter 28 fev 2023 20:25:46 -03; Group 1; redis-67db9bd79b-cp5zn; 00.70
ter 28 fev 2023 20:25:47 -03; Group 1; redis-67db9bd79b-cp5zn; 00.70
ter 28 fev 2023 20:25:48 -03; Group 1; redis-67db9bd79b-cp5zn; 00.64
ter 28 fev 2023 20:25:50 -03; Group 1; redis-67db9bd79b-cp5zn; 01.01
ter 28 fev 2023 20:25:51 -03; Group 1; redis-67db9bd79b-cp5zn; 00.67
ter 28 fev 2023 20:25:52 -03; Group 1; redis-67db9bd79b-cp5zn; 01.03
ter 28 fev 2023 20:25:53 -03; Group 1; redis-67db9bd79b-cp5zn; 00.66
ter 28 fev 2023 20:25:54 -03; Group 1; redis-67db9bd79b-cp5zn; 00.68
ter 28 fev 2023 20:25:55 -03; Group 1; redis-67db9bd79b-cp5zn; 00.76
ter 28 fev 2023 20:25:56 -03; Group 1; redis-67db9bd79b-cp5zn; 00.68
ter 28 fev 2023 20:25:58 -03; Group 1; redis-67db9bd79b-cp5zn; 00.72
ter 28 fev 2023 20:25:59 -03; Group 1; redis-67db9bd79b-cp5zn; 00.70
ter 28 fev 2023 20:26:00 -03; Group 1; redis-67db9bd79b-cp5zn; 00.70
ter 28 fev 2023 20:26:01 -03; Group 1; redis-67db9bd79b-cp5zn; 00.70
ter 28 fev 2023 20:26:02 -03; Group 1; redis-67db9bd79b-cp5zn; 00.70
ter 28 fev 2023 20:26:03 -03; Group 1; redis-67db9bd79b-cp5zn; 00.64
ter 28 fev 2023 20:26:04 -03; Group 1; redis-67db9bd79b-cp5zn; 00.72
ter 28 fev 2023 20:26:05 -03; Group 1; redis-67db9bd79b-cp5zn; 00.75
ter 28 fev 2023 20:26:06 -03; Group 1; redis-67db9bd79b-cp5zn; 00.69
ter 28 fev 2023 20:26:07 -03; Group 1; redis-67db9bd79b-cp5zn; 00.69
ter 28 fev 2023 20:26:09 -03; Group 1; redis-67db9bd79b-cp5zn; 00.68
ter 28 fev 2023 20:26:10 -03; Group 1; redis-67db9bd79b-cp5zn; 00.70
ter 28 fev 2023 20:26:11 -03; Group 1; redis-67db9bd79b-cp5zn; 00.70
