Data; Group; Nome_POD; APT
sex 03 mar 2023 16:41:52 -03; Group 1; db-684b9b49fd-h86tp; 01.431
sex 03 mar 2023 16:41:54 -03; Group 1; db-684b9b49fd-h86tp; 01.595
sex 03 mar 2023 16:41:56 -03; Group 1; db-684b9b49fd-h86tp; 01.533
sex 03 mar 2023 16:41:58 -03; Group 1; db-684b9b49fd-h86tp; 01.470
sex 03 mar 2023 16:42:00 -03; Group 1; db-684b9b49fd-h86tp; 01.625
sex 03 mar 2023 16:42:02 -03; Group 1; db-684b9b49fd-h86tp; 01.537
sex 03 mar 2023 16:42:04 -03; Group 1; db-684b9b49fd-h86tp; 01.594
sex 03 mar 2023 16:42:06 -03; Group 1; db-684b9b49fd-h86tp; 01.546
sex 03 mar 2023 16:42:07 -03; Group 1; db-684b9b49fd-h86tp; 01.542
sex 03 mar 2023 16:42:09 -03; Group 1; db-684b9b49fd-h86tp; 01.550
sex 03 mar 2023 16:42:11 -03; Group 1; db-684b9b49fd-h86tp; 01.488
sex 03 mar 2023 16:42:13 -03; Group 1; db-684b9b49fd-h86tp; 01.677
sex 03 mar 2023 16:42:15 -03; Group 1; db-684b9b49fd-h86tp; 01.563
sex 03 mar 2023 16:42:17 -03; Group 1; db-684b9b49fd-h86tp; 01.557
sex 03 mar 2023 16:42:19 -03; Group 1; db-684b9b49fd-h86tp; 01.525
sex 03 mar 2023 16:42:21 -03; Group 1; db-684b9b49fd-h86tp; 01.481
sex 03 mar 2023 16:42:23 -03; Group 1; db-684b9b49fd-h86tp; 01.499
sex 03 mar 2023 16:42:25 -03; Group 1; db-684b9b49fd-h86tp; 01.494
sex 03 mar 2023 16:42:27 -03; Group 1; db-684b9b49fd-h86tp; 01.394
sex 03 mar 2023 16:42:29 -03; Group 1; db-684b9b49fd-h86tp; 01.726
sex 03 mar 2023 16:42:31 -03; Group 1; db-684b9b49fd-h86tp; 01.480
sex 03 mar 2023 16:42:32 -03; Group 1; db-684b9b49fd-h86tp; 01.474
