Data,Group,Nome_POD,WGET
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.302
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.286
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.302
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.300
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.287
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.277
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.290
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.284
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.291
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.293
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.282
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.287
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.303
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.298
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.293
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.302
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.292
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.291
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.269
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.277
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.291
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.289
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.302
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.307
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.295
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.295
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.284
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.277
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.293
21-02-2023,Group 1,db-684b9b49fd-fl2xm,00.290
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.30
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.34
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.33
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.33
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.31
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.33
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.43
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.36
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.33
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.32
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.33
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.34
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.34
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.35
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.34
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.33
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.33
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.34
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.32
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.34
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.32
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.34
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.32
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.34
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.33
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.30
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.32
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.31
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.31
21-02-2023,Group 1,redis-67db9bd79b-cr2zl,00.33
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.320
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.294
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.308
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.266
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.310
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.309
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.281
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.300
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.271
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.299
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.272
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.309
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.296
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.301
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.296
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.296
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.299
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.281
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.353
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.292
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.282
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.265
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.267
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.279
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.291
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.317
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.303
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.293
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.305
21-02-2023,Group 1,result-77f68799c4-6wtfp,00.293
21-02-2023,Group 1,vote-79787c6c8b-5fj8v,00.27
21-02-2023,Group 1,vote-79787c6c8b-5fj8v,00.29
21-02-2023,Group 1,vote-79787c6c8b-5fj8v,00.29
21-02-2023,Group 1,vote-79787c6c8b-5fj8v,00.30
21-02-2023,Group 1,vote-79787c6c8b-5fj8v,00.28
21-02-2023,Group 1,vote-79787c6c8b-5fj8v,00.28
