Data; Group; Nome_POD; PING
sex 03 mar 2023 16:30:28 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:30:36 -03; Group 1; result-77f68799c4-ml9k2; 007.00
sex 03 mar 2023 16:30:43 -03; Group 1; result-77f68799c4-ml9k2; 007.00
sex 03 mar 2023 16:30:51 -03; Group 1; result-77f68799c4-ml9k2; 007.00
sex 03 mar 2023 16:30:58 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:31:06 -03; Group 1; result-77f68799c4-ml9k2; 007.00
sex 03 mar 2023 16:31:13 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:31:20 -03; Group 1; result-77f68799c4-ml9k2; 007.00
sex 03 mar 2023 16:31:28 -03; Group 1; result-77f68799c4-ml9k2; 007.00
sex 03 mar 2023 16:31:35 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:31:43 -03; Group 1; result-77f68799c4-ml9k2; 007.00
sex 03 mar 2023 16:31:50 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:31:57 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:32:05 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:32:12 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:32:20 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:32:27 -03; Group 1; result-77f68799c4-ml9k2; 007.00
sex 03 mar 2023 16:32:34 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:32:42 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:32:49 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:32:57 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:33:04 -03; Group 1; result-77f68799c4-ml9k2; 007.00
sex 03 mar 2023 16:33:11 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:33:19 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:33:26 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:33:34 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:33:41 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:33:48 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:33:56 -03; Group 1; result-77f68799c4-ml9k2; 007.01
sex 03 mar 2023 16:34:03 -03; Group 1; result-77f68799c4-ml9k2; 007.01
