Data; Group; Nome_POD; PING
sex 03 mar 2023 16:37:57 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:38:05 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.00
sex 03 mar 2023 16:38:12 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:38:20 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:38:27 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:38:34 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:38:42 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:38:49 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:38:57 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:39:04 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:39:12 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:39:19 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:39:26 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:39:34 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:39:41 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:39:49 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:39:56 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:40:03 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.00
sex 03 mar 2023 16:40:11 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:40:18 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.00
sex 03 mar 2023 16:40:26 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.00
sex 03 mar 2023 16:40:33 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:40:41 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:40:48 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:40:55 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.05
sex 03 mar 2023 16:41:03 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:41:10 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:41:18 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
sex 03 mar 2023 16:41:25 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.00
sex 03 mar 2023 16:41:32 -03; Group 1; worker-78b9ff59fc-rvtgx; 007.01
