Data; Group; Nome_POD; WGET
sex 03 mar 2023 16:20:10 -03; Group 1; db-684b9b49fd-h86tp; 00.295
sex 03 mar 2023 16:20:10 -03; Group 1; db-684b9b49fd-h86tp; 00.300
sex 03 mar 2023 16:20:11 -03; Group 1; db-684b9b49fd-h86tp; 00.268
sex 03 mar 2023 16:20:12 -03; Group 1; db-684b9b49fd-h86tp; 00.304
sex 03 mar 2023 16:20:13 -03; Group 1; db-684b9b49fd-h86tp; 00.302
sex 03 mar 2023 16:20:13 -03; Group 1; db-684b9b49fd-h86tp; 00.305
sex 03 mar 2023 16:20:14 -03; Group 1; db-684b9b49fd-h86tp; 00.279
sex 03 mar 2023 16:20:15 -03; Group 1; db-684b9b49fd-h86tp; 00.296
sex 03 mar 2023 16:20:15 -03; Group 1; db-684b9b49fd-h86tp; 00.307
sex 03 mar 2023 16:20:16 -03; Group 1; db-684b9b49fd-h86tp; 00.271
sex 03 mar 2023 16:20:17 -03; Group 1; db-684b9b49fd-h86tp; 00.300
sex 03 mar 2023 16:20:17 -03; Group 1; db-684b9b49fd-h86tp; 00.278
sex 03 mar 2023 16:20:18 -03; Group 1; db-684b9b49fd-h86tp; 00.295
sex 03 mar 2023 16:20:19 -03; Group 1; db-684b9b49fd-h86tp; 00.283
sex 03 mar 2023 16:20:19 -03; Group 1; db-684b9b49fd-h86tp; 00.304
sex 03 mar 2023 16:20:20 -03; Group 1; db-684b9b49fd-h86tp; 00.296
sex 03 mar 2023 16:20:21 -03; Group 1; db-684b9b49fd-h86tp; 00.266
sex 03 mar 2023 16:20:21 -03; Group 1; db-684b9b49fd-h86tp; 00.302
sex 03 mar 2023 16:20:22 -03; Group 1; db-684b9b49fd-h86tp; 00.282
sex 03 mar 2023 16:20:23 -03; Group 1; db-684b9b49fd-h86tp; 00.291
sex 03 mar 2023 16:20:23 -03; Group 1; db-684b9b49fd-h86tp; 00.274
sex 03 mar 2023 16:20:24 -03; Group 1; db-684b9b49fd-h86tp; 00.304
sex 03 mar 2023 16:20:25 -03; Group 1; db-684b9b49fd-h86tp; 00.293
sex 03 mar 2023 16:20:25 -03; Group 1; db-684b9b49fd-h86tp; 00.278
sex 03 mar 2023 16:20:26 -03; Group 1; db-684b9b49fd-h86tp; 00.281
sex 03 mar 2023 16:20:27 -03; Group 1; db-684b9b49fd-h86tp; 00.309
sex 03 mar 2023 16:20:27 -03; Group 1; db-684b9b49fd-h86tp; 00.295
sex 03 mar 2023 16:20:28 -03; Group 1; db-684b9b49fd-h86tp; 00.270
sex 03 mar 2023 16:20:29 -03; Group 1; db-684b9b49fd-h86tp; 00.298
sex 03 mar 2023 16:20:29 -03; Group 1; db-684b9b49fd-h86tp; 00.272
