Data; Group; Nome_POD; WGET
sex 03 mar 2023 16:20:52 -03; Group 1; result-77f68799c4-ml9k2; 00.299
sex 03 mar 2023 16:20:52 -03; Group 1; result-77f68799c4-ml9k2; 00.279
sex 03 mar 2023 16:20:53 -03; Group 1; result-77f68799c4-ml9k2; 00.285
sex 03 mar 2023 16:20:54 -03; Group 1; result-77f68799c4-ml9k2; 00.274
sex 03 mar 2023 16:20:54 -03; Group 1; result-77f68799c4-ml9k2; 00.294
sex 03 mar 2023 16:20:55 -03; Group 1; result-77f68799c4-ml9k2; 00.259
sex 03 mar 2023 16:20:56 -03; Group 1; result-77f68799c4-ml9k2; 00.297
sex 03 mar 2023 16:20:56 -03; Group 1; result-77f68799c4-ml9k2; 00.274
sex 03 mar 2023 16:20:57 -03; Group 1; result-77f68799c4-ml9k2; 00.275
sex 03 mar 2023 16:20:58 -03; Group 1; result-77f68799c4-ml9k2; 00.309
sex 03 mar 2023 16:20:58 -03; Group 1; result-77f68799c4-ml9k2; 00.288
sex 03 mar 2023 16:20:59 -03; Group 1; result-77f68799c4-ml9k2; 00.278
sex 03 mar 2023 16:21:00 -03; Group 1; result-77f68799c4-ml9k2; 00.287
sex 03 mar 2023 16:21:00 -03; Group 1; result-77f68799c4-ml9k2; 00.286
sex 03 mar 2023 16:21:01 -03; Group 1; result-77f68799c4-ml9k2; 00.271
sex 03 mar 2023 16:21:02 -03; Group 1; result-77f68799c4-ml9k2; 00.280
sex 03 mar 2023 16:21:02 -03; Group 1; result-77f68799c4-ml9k2; 00.298
sex 03 mar 2023 16:21:03 -03; Group 1; result-77f68799c4-ml9k2; 00.290
sex 03 mar 2023 16:21:04 -03; Group 1; result-77f68799c4-ml9k2; 00.302
sex 03 mar 2023 16:21:04 -03; Group 1; result-77f68799c4-ml9k2; 00.316
sex 03 mar 2023 16:21:05 -03; Group 1; result-77f68799c4-ml9k2; 00.290
sex 03 mar 2023 16:21:06 -03; Group 1; result-77f68799c4-ml9k2; 00.311
sex 03 mar 2023 16:21:06 -03; Group 1; result-77f68799c4-ml9k2; 00.262
sex 03 mar 2023 16:21:07 -03; Group 1; result-77f68799c4-ml9k2; 00.271
sex 03 mar 2023 16:21:08 -03; Group 1; result-77f68799c4-ml9k2; 00.281
sex 03 mar 2023 16:21:08 -03; Group 1; result-77f68799c4-ml9k2; 00.287
sex 03 mar 2023 16:21:09 -03; Group 1; result-77f68799c4-ml9k2; 00.272
sex 03 mar 2023 16:21:10 -03; Group 1; result-77f68799c4-ml9k2; 00.286
sex 03 mar 2023 16:21:10 -03; Group 1; result-77f68799c4-ml9k2; 00.279
sex 03 mar 2023 16:21:11 -03; Group 1; result-77f68799c4-ml9k2; 00.288
