Data; Group; Nome_POD; WGET
sex 03 mar 2023 16:21:32 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.300
sex 03 mar 2023 16:21:33 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.287
sex 03 mar 2023 16:21:33 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.276
sex 03 mar 2023 16:21:34 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.289
sex 03 mar 2023 16:21:35 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.294
sex 03 mar 2023 16:21:35 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.282
sex 03 mar 2023 16:21:36 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.292
sex 03 mar 2023 16:21:37 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.287
sex 03 mar 2023 16:21:37 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.290
sex 03 mar 2023 16:21:38 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.315
sex 03 mar 2023 16:21:39 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.302
sex 03 mar 2023 16:21:40 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.265
sex 03 mar 2023 16:21:40 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.272
sex 03 mar 2023 16:21:41 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.303
sex 03 mar 2023 16:21:42 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.278
sex 03 mar 2023 16:21:42 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.277
sex 03 mar 2023 16:21:43 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.288
sex 03 mar 2023 16:22:16 -03; Group 1; worker-78b9ff59fc-rvtgx; 033.099
sex 03 mar 2023 16:22:17 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.282
sex 03 mar 2023 16:22:18 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.307
sex 03 mar 2023 16:22:19 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.260
sex 03 mar 2023 16:22:19 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.347
sex 03 mar 2023 16:22:20 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.296
sex 03 mar 2023 16:22:21 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.310
sex 03 mar 2023 16:22:21 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.311
sex 03 mar 2023 16:22:22 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.296
sex 03 mar 2023 16:22:23 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.291
sex 03 mar 2023 16:22:23 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.272
sex 03 mar 2023 16:22:24 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.289
sex 03 mar 2023 16:22:25 -03; Group 1; worker-78b9ff59fc-rvtgx; 00.267
