Data; Group; Nome_POD; APT
dom 05 mar 2023 12:05:17 -03; Group 1; redis-67db9bd79b-8rxkm; 1.83
dom 05 mar 2023 12:05:18 -03; Group 1; redis-67db9bd79b-8rxkm; 0.77
dom 05 mar 2023 12:05:20 -03; Group 1; redis-67db9bd79b-8rxkm; 0.76
dom 05 mar 2023 12:05:21 -03; Group 1; redis-67db9bd79b-8rxkm; 0.74
dom 05 mar 2023 12:05:22 -03; Group 1; redis-67db9bd79b-8rxkm; 0.70
dom 05 mar 2023 12:05:23 -03; Group 1; redis-67db9bd79b-8rxkm; 0.73
dom 05 mar 2023 12:05:24 -03; Group 1; redis-67db9bd79b-8rxkm; 0.68
dom 05 mar 2023 12:05:25 -03; Group 1; redis-67db9bd79b-8rxkm; 1.00
dom 05 mar 2023 12:05:26 -03; Group 1; redis-67db9bd79b-8rxkm; 0.72
dom 05 mar 2023 12:05:28 -03; Group 1; redis-67db9bd79b-8rxkm; 1.09
dom 05 mar 2023 12:05:29 -03; Group 1; redis-67db9bd79b-8rxkm; 0.76
dom 05 mar 2023 12:05:30 -03; Group 1; redis-67db9bd79b-8rxkm; 0.71
dom 05 mar 2023 12:05:31 -03; Group 1; redis-67db9bd79b-8rxkm; 0.69
dom 05 mar 2023 12:05:32 -03; Group 1; redis-67db9bd79b-8rxkm; 0.75
dom 05 mar 2023 12:05:34 -03; Group 1; redis-67db9bd79b-8rxkm; 0.73
dom 05 mar 2023 12:05:35 -03; Group 1; redis-67db9bd79b-8rxkm; 0.80
dom 05 mar 2023 12:05:36 -03; Group 1; redis-67db9bd79b-8rxkm; 0.70
dom 05 mar 2023 12:05:37 -03; Group 1; redis-67db9bd79b-8rxkm; 0.68
dom 05 mar 2023 12:05:38 -03; Group 1; redis-67db9bd79b-8rxkm; 1.06
dom 05 mar 2023 12:05:39 -03; Group 1; redis-67db9bd79b-8rxkm; 0.72
dom 05 mar 2023 12:05:41 -03; Group 1; redis-67db9bd79b-8rxkm; 0.74
dom 05 mar 2023 12:05:42 -03; Group 1; redis-67db9bd79b-8rxkm; 0.71
dom 05 mar 2023 12:05:43 -03; Group 1; redis-67db9bd79b-8rxkm; 0.71
dom 05 mar 2023 12:05:44 -03; Group 1; redis-67db9bd79b-8rxkm; 0.74
dom 05 mar 2023 12:05:45 -03; Group 1; redis-67db9bd79b-8rxkm; 0.76
dom 05 mar 2023 12:05:46 -03; Group 1; redis-67db9bd79b-8rxkm; 0.69
dom 05 mar 2023 12:05:47 -03; Group 1; redis-67db9bd79b-8rxkm; 0.69
dom 05 mar 2023 12:05:49 -03; Group 1; redis-67db9bd79b-8rxkm; 1.07
dom 05 mar 2023 12:05:50 -03; Group 1; redis-67db9bd79b-8rxkm; 0.73
dom 05 mar 2023 12:05:51 -03; Group 1; redis-67db9bd79b-8rxkm; 0.68
