Data; Group; Nome_POD; CURL
dom 05 mar 2023 11:55:18 -03; Group 1; db-684b9b49fd-jc9hl; 00.315
dom 05 mar 2023 11:55:19 -03; Group 1; db-684b9b49fd-jc9hl; 00.315
dom 05 mar 2023 11:55:20 -03; Group 1; db-684b9b49fd-jc9hl; 00.299
dom 05 mar 2023 11:55:20 -03; Group 1; db-684b9b49fd-jc9hl; 00.296
dom 05 mar 2023 11:55:21 -03; Group 1; db-684b9b49fd-jc9hl; 00.303
dom 05 mar 2023 11:55:22 -03; Group 1; db-684b9b49fd-jc9hl; 00.299
dom 05 mar 2023 11:55:22 -03; Group 1; db-684b9b49fd-jc9hl; 00.277
dom 05 mar 2023 11:55:23 -03; Group 1; db-684b9b49fd-jc9hl; 00.294
dom 05 mar 2023 11:55:24 -03; Group 1; db-684b9b49fd-jc9hl; 00.325
dom 05 mar 2023 11:55:24 -03; Group 1; db-684b9b49fd-jc9hl; 00.309
dom 05 mar 2023 11:55:25 -03; Group 1; db-684b9b49fd-jc9hl; 00.284
dom 05 mar 2023 11:55:26 -03; Group 1; db-684b9b49fd-jc9hl; 00.308
dom 05 mar 2023 11:55:26 -03; Group 1; db-684b9b49fd-jc9hl; 00.280
dom 05 mar 2023 11:55:27 -03; Group 1; db-684b9b49fd-jc9hl; 00.301
dom 05 mar 2023 11:55:28 -03; Group 1; db-684b9b49fd-jc9hl; 00.304
dom 05 mar 2023 11:55:29 -03; Group 1; db-684b9b49fd-jc9hl; 00.296
dom 05 mar 2023 11:55:29 -03; Group 1; db-684b9b49fd-jc9hl; 00.295
dom 05 mar 2023 11:55:30 -03; Group 1; db-684b9b49fd-jc9hl; 00.310
dom 05 mar 2023 11:55:31 -03; Group 1; db-684b9b49fd-jc9hl; 00.310
dom 05 mar 2023 11:55:31 -03; Group 1; db-684b9b49fd-jc9hl; 00.325
dom 05 mar 2023 11:55:32 -03; Group 1; db-684b9b49fd-jc9hl; 00.303
dom 05 mar 2023 11:55:33 -03; Group 1; db-684b9b49fd-jc9hl; 00.323
dom 05 mar 2023 11:55:33 -03; Group 1; db-684b9b49fd-jc9hl; 00.290
dom 05 mar 2023 11:55:34 -03; Group 1; db-684b9b49fd-jc9hl; 00.306
dom 05 mar 2023 11:55:35 -03; Group 1; db-684b9b49fd-jc9hl; 00.301
dom 05 mar 2023 11:55:36 -03; Group 1; db-684b9b49fd-jc9hl; 00.308
dom 05 mar 2023 11:55:36 -03; Group 1; db-684b9b49fd-jc9hl; 00.273
dom 05 mar 2023 11:55:37 -03; Group 1; db-684b9b49fd-jc9hl; 00.320
dom 05 mar 2023 11:55:37 -03; Group 1; db-684b9b49fd-jc9hl; 00.277
dom 05 mar 2023 11:55:38 -03; Group 1; db-684b9b49fd-jc9hl; 00.293
