Data; Group; Nome_POD; CURL
dom 05 mar 2023 11:55:39 -03; Group 1; redis-67db9bd79b-8rxkm; 00.27
dom 05 mar 2023 11:55:39 -03; Group 1; redis-67db9bd79b-8rxkm; 00.26
dom 05 mar 2023 11:55:40 -03; Group 1; redis-67db9bd79b-8rxkm; 00.26
dom 05 mar 2023 11:55:41 -03; Group 1; redis-67db9bd79b-8rxkm; 00.26
dom 05 mar 2023 11:55:41 -03; Group 1; redis-67db9bd79b-8rxkm; 00.28
dom 05 mar 2023 11:55:42 -03; Group 1; redis-67db9bd79b-8rxkm; 00.24
dom 05 mar 2023 11:55:43 -03; Group 1; redis-67db9bd79b-8rxkm; 00.26
dom 05 mar 2023 11:55:43 -03; Group 1; redis-67db9bd79b-8rxkm; 00.27
dom 05 mar 2023 11:55:44 -03; Group 1; redis-67db9bd79b-8rxkm; 00.27
dom 05 mar 2023 11:55:45 -03; Group 1; redis-67db9bd79b-8rxkm; 00.26
dom 05 mar 2023 11:55:45 -03; Group 1; redis-67db9bd79b-8rxkm; 00.26
dom 05 mar 2023 11:55:46 -03; Group 1; redis-67db9bd79b-8rxkm; 00.26
dom 05 mar 2023 11:55:47 -03; Group 1; redis-67db9bd79b-8rxkm; 00.24
dom 05 mar 2023 11:55:47 -03; Group 1; redis-67db9bd79b-8rxkm; 00.26
dom 05 mar 2023 11:55:48 -03; Group 1; redis-67db9bd79b-8rxkm; 00.28
dom 05 mar 2023 11:55:48 -03; Group 1; redis-67db9bd79b-8rxkm; 00.26
dom 05 mar 2023 11:55:49 -03; Group 1; redis-67db9bd79b-8rxkm; 00.26
dom 05 mar 2023 11:55:50 -03; Group 1; redis-67db9bd79b-8rxkm; 00.29
dom 05 mar 2023 11:55:50 -03; Group 1; redis-67db9bd79b-8rxkm; 00.26
dom 05 mar 2023 11:55:51 -03; Group 1; redis-67db9bd79b-8rxkm; 00.25
dom 05 mar 2023 11:55:52 -03; Group 1; redis-67db9bd79b-8rxkm; 00.26
dom 05 mar 2023 11:55:52 -03; Group 1; redis-67db9bd79b-8rxkm; 00.24
dom 05 mar 2023 11:55:53 -03; Group 1; redis-67db9bd79b-8rxkm; 00.25
dom 05 mar 2023 11:55:54 -03; Group 1; redis-67db9bd79b-8rxkm; 00.26
dom 05 mar 2023 11:55:54 -03; Group 1; redis-67db9bd79b-8rxkm; 00.25
dom 05 mar 2023 11:55:55 -03; Group 1; redis-67db9bd79b-8rxkm; 00.26
dom 05 mar 2023 11:55:56 -03; Group 1; redis-67db9bd79b-8rxkm; 00.27
dom 05 mar 2023 11:55:56 -03; Group 1; redis-67db9bd79b-8rxkm; 00.24
dom 05 mar 2023 11:55:57 -03; Group 1; redis-67db9bd79b-8rxkm; 00.26
dom 05 mar 2023 11:55:58 -03; Group 1; redis-67db9bd79b-8rxkm; 00.27
