Data; Group; Nome_POD; CURL
dom 05 mar 2023 11:56:19 -03; Group 1; vote-79787c6c8b-qpzmg; 00.32
dom 05 mar 2023 11:56:19 -03; Group 1; vote-79787c6c8b-qpzmg; 00.28
dom 05 mar 2023 11:56:20 -03; Group 1; vote-79787c6c8b-qpzmg; 00.26
dom 05 mar 2023 11:56:21 -03; Group 1; vote-79787c6c8b-qpzmg; 00.25
dom 05 mar 2023 11:56:21 -03; Group 1; vote-79787c6c8b-qpzmg; 00.27
dom 05 mar 2023 11:56:22 -03; Group 1; vote-79787c6c8b-qpzmg; 00.28
dom 05 mar 2023 11:56:23 -03; Group 1; vote-79787c6c8b-qpzmg; 00.28
dom 05 mar 2023 11:56:23 -03; Group 1; vote-79787c6c8b-qpzmg; 00.28
dom 05 mar 2023 11:56:24 -03; Group 1; vote-79787c6c8b-qpzmg; 00.28
dom 05 mar 2023 11:56:25 -03; Group 1; vote-79787c6c8b-qpzmg; 00.25
dom 05 mar 2023 11:56:25 -03; Group 1; vote-79787c6c8b-qpzmg; 00.28
dom 05 mar 2023 11:56:26 -03; Group 1; vote-79787c6c8b-qpzmg; 00.26
dom 05 mar 2023 11:56:27 -03; Group 1; vote-79787c6c8b-qpzmg; 00.26
dom 05 mar 2023 11:56:27 -03; Group 1; vote-79787c6c8b-qpzmg; 00.27
dom 05 mar 2023 11:56:28 -03; Group 1; vote-79787c6c8b-qpzmg; 00.27
dom 05 mar 2023 11:56:29 -03; Group 1; vote-79787c6c8b-qpzmg; 00.26
dom 05 mar 2023 11:56:29 -03; Group 1; vote-79787c6c8b-qpzmg; 00.26
dom 05 mar 2023 11:56:30 -03; Group 1; vote-79787c6c8b-qpzmg; 00.28
dom 05 mar 2023 11:56:31 -03; Group 1; vote-79787c6c8b-qpzmg; 00.27
dom 05 mar 2023 11:56:31 -03; Group 1; vote-79787c6c8b-qpzmg; 00.29
dom 05 mar 2023 11:56:32 -03; Group 1; vote-79787c6c8b-qpzmg; 00.27
dom 05 mar 2023 11:56:33 -03; Group 1; vote-79787c6c8b-qpzmg; 00.26
dom 05 mar 2023 11:56:33 -03; Group 1; vote-79787c6c8b-qpzmg; 00.27
dom 05 mar 2023 11:56:34 -03; Group 1; vote-79787c6c8b-qpzmg; 00.28
dom 05 mar 2023 11:56:35 -03; Group 1; vote-79787c6c8b-qpzmg; 00.32
dom 05 mar 2023 11:56:35 -03; Group 1; vote-79787c6c8b-qpzmg; 00.28
dom 05 mar 2023 11:56:36 -03; Group 1; vote-79787c6c8b-qpzmg; 00.26
dom 05 mar 2023 11:56:37 -03; Group 1; vote-79787c6c8b-qpzmg; 00.28
dom 05 mar 2023 11:56:37 -03; Group 1; vote-79787c6c8b-qpzmg; 00.27
dom 05 mar 2023 11:56:38 -03; Group 1; vote-79787c6c8b-qpzmg; 00.27
