Data; Group; Nome_POD; PING
dom 05 mar 2023 18:06:36 -03; Group 1; redis-67db9bd79b-8rxkm; 7.19
dom 05 mar 2023 18:06:44 -03; Group 1; redis-67db9bd79b-8rxkm; 7.18
dom 05 mar 2023 18:06:51 -03; Group 1; redis-67db9bd79b-8rxkm; 7.10
dom 05 mar 2023 18:06:59 -03; Group 1; redis-67db9bd79b-8rxkm; 7.14
dom 05 mar 2023 18:07:06 -03; Group 1; redis-67db9bd79b-8rxkm; 7.18
dom 05 mar 2023 18:07:14 -03; Group 1; redis-67db9bd79b-8rxkm; 7.17
dom 05 mar 2023 18:07:21 -03; Group 1; redis-67db9bd79b-8rxkm; 7.17
dom 05 mar 2023 18:07:29 -03; Group 1; redis-67db9bd79b-8rxkm; 7.16
dom 05 mar 2023 18:07:37 -03; Group 1; redis-67db9bd79b-8rxkm; 7.19
dom 05 mar 2023 18:07:44 -03; Group 1; redis-67db9bd79b-8rxkm; 7.16
dom 05 mar 2023 18:07:52 -03; Group 1; redis-67db9bd79b-8rxkm; 7.18
dom 05 mar 2023 18:07:59 -03; Group 1; redis-67db9bd79b-8rxkm; 7.18
dom 05 mar 2023 18:08:07 -03; Group 1; redis-67db9bd79b-8rxkm; 7.15
dom 05 mar 2023 18:08:15 -03; Group 1; redis-67db9bd79b-8rxkm; 7.17
dom 05 mar 2023 18:08:22 -03; Group 1; redis-67db9bd79b-8rxkm; 7.19
dom 05 mar 2023 18:08:30 -03; Group 1; redis-67db9bd79b-8rxkm; 7.16
dom 05 mar 2023 18:08:37 -03; Group 1; redis-67db9bd79b-8rxkm; 7.12
dom 05 mar 2023 18:08:45 -03; Group 1; redis-67db9bd79b-8rxkm; 7.14
dom 05 mar 2023 18:08:52 -03; Group 1; redis-67db9bd79b-8rxkm; 7.16
dom 05 mar 2023 18:09:00 -03; Group 1; redis-67db9bd79b-8rxkm; 7.16
dom 05 mar 2023 18:09:07 -03; Group 1; redis-67db9bd79b-8rxkm; 7.16
dom 05 mar 2023 18:09:15 -03; Group 1; redis-67db9bd79b-8rxkm; 7.18
dom 05 mar 2023 18:09:23 -03; Group 1; redis-67db9bd79b-8rxkm; 7.17
dom 05 mar 2023 18:09:30 -03; Group 1; redis-67db9bd79b-8rxkm; 7.19
dom 05 mar 2023 18:09:38 -03; Group 1; redis-67db9bd79b-8rxkm; 7.17
dom 05 mar 2023 18:09:45 -03; Group 1; redis-67db9bd79b-8rxkm; 7.16
dom 05 mar 2023 18:09:53 -03; Group 1; redis-67db9bd79b-8rxkm; 7.17
dom 05 mar 2023 18:10:00 -03; Group 1; redis-67db9bd79b-8rxkm; 7.17
dom 05 mar 2023 18:10:08 -03; Group 1; redis-67db9bd79b-8rxkm; 7.10
dom 05 mar 2023 18:10:16 -03; Group 1; redis-67db9bd79b-8rxkm; 7.21
