Data; Group; Nome_POD; PING
dom 05 mar 2023 18:17:52 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:18:00 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:18:07 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:18:15 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:18:22 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:18:30 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:18:37 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.00
dom 05 mar 2023 18:18:44 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:18:52 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:18:59 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:19:07 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:19:14 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.00
dom 05 mar 2023 18:19:22 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.00
dom 05 mar 2023 18:19:29 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:19:36 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:19:44 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.00
dom 05 mar 2023 18:19:51 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.00
dom 05 mar 2023 18:19:59 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:20:06 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.00
dom 05 mar 2023 18:20:13 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:20:21 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:20:28 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:20:36 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:20:43 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.00
dom 05 mar 2023 18:20:50 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:20:58 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:21:05 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:21:13 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:21:20 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
dom 05 mar 2023 18:21:28 -03; Group 1; worker-78b9ff59fc-5wmnc; 007.01
