Data; Group; Nome_POD; WGET
dom 05 mar 2023 18:28:47 -03; Group 1; db-684b9b49fd-jc9hl; 00.541
dom 05 mar 2023 18:28:48 -03; Group 1; db-684b9b49fd-jc9hl; 00.360
dom 05 mar 2023 18:28:48 -03; Group 1; db-684b9b49fd-jc9hl; 00.292
dom 05 mar 2023 18:28:49 -03; Group 1; db-684b9b49fd-jc9hl; 00.367
dom 05 mar 2023 18:28:50 -03; Group 1; db-684b9b49fd-jc9hl; 00.280
dom 05 mar 2023 18:28:50 -03; Group 1; db-684b9b49fd-jc9hl; 00.293
dom 05 mar 2023 18:28:51 -03; Group 1; db-684b9b49fd-jc9hl; 00.543
dom 05 mar 2023 18:28:52 -03; Group 1; db-684b9b49fd-jc9hl; 00.318
dom 05 mar 2023 18:28:53 -03; Group 1; db-684b9b49fd-jc9hl; 00.289
dom 05 mar 2023 18:28:53 -03; Group 1; db-684b9b49fd-jc9hl; 00.296
dom 05 mar 2023 18:28:54 -03; Group 1; db-684b9b49fd-jc9hl; 00.278
dom 05 mar 2023 18:28:55 -03; Group 1; db-684b9b49fd-jc9hl; 00.342
dom 05 mar 2023 18:28:56 -03; Group 1; db-684b9b49fd-jc9hl; 00.358
dom 05 mar 2023 18:28:57 -03; Group 1; db-684b9b49fd-jc9hl; 00.538
dom 05 mar 2023 18:28:57 -03; Group 1; db-684b9b49fd-jc9hl; 00.269
dom 05 mar 2023 18:28:58 -03; Group 1; db-684b9b49fd-jc9hl; 00.275
dom 05 mar 2023 18:28:59 -03; Group 1; db-684b9b49fd-jc9hl; 00.308
dom 05 mar 2023 18:28:59 -03; Group 1; db-684b9b49fd-jc9hl; 00.299
dom 05 mar 2023 18:29:00 -03; Group 1; db-684b9b49fd-jc9hl; 00.312
dom 05 mar 2023 18:29:01 -03; Group 1; db-684b9b49fd-jc9hl; 00.309
dom 05 mar 2023 18:29:01 -03; Group 1; db-684b9b49fd-jc9hl; 00.313
dom 05 mar 2023 18:29:02 -03; Group 1; db-684b9b49fd-jc9hl; 00.267
dom 05 mar 2023 18:29:03 -03; Group 1; db-684b9b49fd-jc9hl; 00.309
dom 05 mar 2023 18:29:04 -03; Group 1; db-684b9b49fd-jc9hl; 00.350
dom 05 mar 2023 18:29:04 -03; Group 1; db-684b9b49fd-jc9hl; 00.290
dom 05 mar 2023 18:29:05 -03; Group 1; db-684b9b49fd-jc9hl; 00.289
dom 05 mar 2023 18:29:06 -03; Group 1; db-684b9b49fd-jc9hl; 00.284
dom 05 mar 2023 18:29:06 -03; Group 1; db-684b9b49fd-jc9hl; 00.372
dom 05 mar 2023 18:29:07 -03; Group 1; db-684b9b49fd-jc9hl; 00.267
dom 05 mar 2023 18:29:08 -03; Group 1; db-684b9b49fd-jc9hl; 00.288
