Data; Group; Nome_POD; WGET
dom 05 mar 2023 18:29:08 -03; Group 1; redis-67db9bd79b-8rxkm; 00.32
dom 05 mar 2023 18:29:09 -03; Group 1; redis-67db9bd79b-8rxkm; 00.55
dom 05 mar 2023 18:29:10 -03; Group 1; redis-67db9bd79b-8rxkm; 00.33
dom 05 mar 2023 18:29:11 -03; Group 1; redis-67db9bd79b-8rxkm; 00.35
dom 05 mar 2023 18:29:11 -03; Group 1; redis-67db9bd79b-8rxkm; 00.33
dom 05 mar 2023 18:29:12 -03; Group 1; redis-67db9bd79b-8rxkm; 00.32
dom 05 mar 2023 18:29:13 -03; Group 1; redis-67db9bd79b-8rxkm; 00.34
dom 05 mar 2023 18:29:14 -03; Group 1; redis-67db9bd79b-8rxkm; 00.35
dom 05 mar 2023 18:29:14 -03; Group 1; redis-67db9bd79b-8rxkm; 00.32
dom 05 mar 2023 18:29:15 -03; Group 1; redis-67db9bd79b-8rxkm; 00.33
dom 05 mar 2023 18:29:16 -03; Group 1; redis-67db9bd79b-8rxkm; 00.36
dom 05 mar 2023 18:29:17 -03; Group 1; redis-67db9bd79b-8rxkm; 00.35
dom 05 mar 2023 18:29:17 -03; Group 1; redis-67db9bd79b-8rxkm; 00.32
dom 05 mar 2023 18:29:18 -03; Group 1; redis-67db9bd79b-8rxkm; 00.35
dom 05 mar 2023 18:29:19 -03; Group 1; redis-67db9bd79b-8rxkm; 00.34
dom 05 mar 2023 18:29:20 -03; Group 1; redis-67db9bd79b-8rxkm; 00.63
dom 05 mar 2023 18:29:21 -03; Group 1; redis-67db9bd79b-8rxkm; 00.59
dom 05 mar 2023 18:29:22 -03; Group 1; redis-67db9bd79b-8rxkm; 00.33
dom 05 mar 2023 18:29:23 -03; Group 1; redis-67db9bd79b-8rxkm; 00.59
dom 05 mar 2023 18:29:24 -03; Group 1; redis-67db9bd79b-8rxkm; 00.60
dom 05 mar 2023 18:29:24 -03; Group 1; redis-67db9bd79b-8rxkm; 00.43
dom 05 mar 2023 18:29:25 -03; Group 1; redis-67db9bd79b-8rxkm; 00.37
dom 05 mar 2023 18:29:26 -03; Group 1; redis-67db9bd79b-8rxkm; 00.60
dom 05 mar 2023 18:29:27 -03; Group 1; redis-67db9bd79b-8rxkm; 00.34
dom 05 mar 2023 18:29:28 -03; Group 1; redis-67db9bd79b-8rxkm; 00.33
dom 05 mar 2023 18:29:28 -03; Group 1; redis-67db9bd79b-8rxkm; 00.36
dom 05 mar 2023 18:29:29 -03; Group 1; redis-67db9bd79b-8rxkm; 00.56
dom 05 mar 2023 18:29:30 -03; Group 1; redis-67db9bd79b-8rxkm; 00.37
dom 05 mar 2023 18:29:31 -03; Group 1; redis-67db9bd79b-8rxkm; 00.35
dom 05 mar 2023 18:29:32 -03; Group 1; redis-67db9bd79b-8rxkm; 00.30
