Data; Group; Nome_POD; CURL
ter 21 fev 2023 16:46:21 -03; Group 2; redis-67db9bd79b-cr2zl; 05.01
ter 21 fev 2023 16:46:27 -03; Group 2; redis-67db9bd79b-cr2zl; 05.01
ter 21 fev 2023 16:46:32 -03; Group 2; redis-67db9bd79b-cr2zl; 05.02
ter 21 fev 2023 16:46:37 -03; Group 2; redis-67db9bd79b-cr2zl; 05.01
ter 21 fev 2023 16:46:43 -03; Group 2; redis-67db9bd79b-cr2zl; 05.01
ter 21 fev 2023 16:46:48 -03; Group 2; redis-67db9bd79b-cr2zl; 05.01
ter 21 fev 2023 16:46:54 -03; Group 2; redis-67db9bd79b-cr2zl; 05.01
ter 21 fev 2023 16:46:59 -03; Group 2; redis-67db9bd79b-cr2zl; 05.01
ter 21 fev 2023 16:47:04 -03; Group 2; redis-67db9bd79b-cr2zl; 05.01
ter 21 fev 2023 16:47:10 -03; Group 2; redis-67db9bd79b-cr2zl; 05.01
ter 21 fev 2023 16:47:15 -03; Group 2; redis-67db9bd79b-cr2zl; 05.00
ter 21 fev 2023 16:47:21 -03; Group 2; redis-67db9bd79b-cr2zl; 05.02
ter 21 fev 2023 16:47:26 -03; Group 2; redis-67db9bd79b-cr2zl; 05.02
ter 21 fev 2023 16:47:32 -03; Group 2; redis-67db9bd79b-cr2zl; 05.02
ter 21 fev 2023 16:47:37 -03; Group 2; redis-67db9bd79b-cr2zl; 05.01
ter 21 fev 2023 16:47:42 -03; Group 2; redis-67db9bd79b-cr2zl; 05.02
ter 21 fev 2023 16:47:48 -03; Group 2; redis-67db9bd79b-cr2zl; 05.01
ter 21 fev 2023 16:47:53 -03; Group 2; redis-67db9bd79b-cr2zl; 05.01
ter 21 fev 2023 16:47:59 -03; Group 2; redis-67db9bd79b-cr2zl; 05.01
ter 21 fev 2023 16:48:04 -03; Group 2; redis-67db9bd79b-cr2zl; 05.02
ter 21 fev 2023 16:48:09 -03; Group 2; redis-67db9bd79b-cr2zl; 05.02
ter 21 fev 2023 16:48:15 -03; Group 2; redis-67db9bd79b-cr2zl; 05.01
ter 21 fev 2023 16:48:20 -03; Group 2; redis-67db9bd79b-cr2zl; 05.01
ter 21 fev 2023 16:48:26 -03; Group 2; redis-67db9bd79b-cr2zl; 05.01
ter 21 fev 2023 16:48:31 -03; Group 2; redis-67db9bd79b-cr2zl; 05.00
ter 21 fev 2023 16:48:36 -03; Group 2; redis-67db9bd79b-cr2zl; 05.02
ter 21 fev 2023 16:48:42 -03; Group 2; redis-67db9bd79b-cr2zl; 05.01
ter 21 fev 2023 16:48:47 -03; Group 2; redis-67db9bd79b-cr2zl; 05.02
ter 21 fev 2023 16:48:53 -03; Group 2; redis-67db9bd79b-cr2zl; 05.01
ter 21 fev 2023 16:48:58 -03; Group 2; redis-67db9bd79b-cr2zl; 05.01
