Data; Group; Nome_POD; WGET
ter 21 fev 2023 17:34:42 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:34:48 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:34:53 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:34:58 -03; Group 2; vote-79787c6c8b-5fj8v; 05.03
ter 21 fev 2023 17:35:04 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:35:09 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:35:15 -03; Group 2; vote-79787c6c8b-5fj8v; 05.03
ter 21 fev 2023 17:35:20 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:35:26 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:35:31 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:35:36 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:35:42 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:35:47 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:35:53 -03; Group 2; vote-79787c6c8b-5fj8v; 05.01
ter 21 fev 2023 17:35:58 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:36:03 -03; Group 2; vote-79787c6c8b-5fj8v; 05.03
ter 21 fev 2023 17:36:09 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:36:14 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:36:20 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:36:25 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:36:30 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:36:36 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:36:42 -03; Group 2; vote-79787c6c8b-5fj8v; 05.03
ter 21 fev 2023 17:36:47 -03; Group 2; vote-79787c6c8b-5fj8v; 05.01
ter 21 fev 2023 17:36:52 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:36:58 -03; Group 2; vote-79787c6c8b-5fj8v; 05.03
ter 21 fev 2023 17:37:03 -03; Group 2; vote-79787c6c8b-5fj8v; 05.03
ter 21 fev 2023 17:37:09 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:37:14 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
ter 21 fev 2023 17:37:19 -03; Group 2; vote-79787c6c8b-5fj8v; 05.02
